epsilon,icr_cum,icr_instant,icr_cum_all,icr_instant_all,n_cum,n_instant,n_cum_all,n_instant_all,n_clean_correct,n_total
0.0,0.0027405602923264312,0.0027405602923264312,0.0027,0.0027,27,27,27,27,9852,10000
0.02500000037252903,0.0097442143727162,0.007105156313438896,0.0096,0.007,96,70,96,70,9852,10000
0.05000000074505806,0.013804303694681283,0.007003654080389768,0.0136,0.0069,136,69,136,69,9852,10000
0.07500000298023224,0.016544863987007715,0.006191636215996752,0.0164,0.0062,163,61,164,62,9852,10000
0.10000000149011612,0.018574908647990256,0.007511165245635404,0.0184,0.0074,183,74,184,74,9852,10000
0.125,0.01979293544457978,0.006699147381242387,0.0196,0.0066,195,66,196,66,9852,10000
0.15000000596046448,0.022838002436053592,0.0097442143727162,0.0226,0.0097,225,96,226,97,9852,10000
0.17499999701976776,0.025172553796183515,0.009541209906617946,0.0249,0.0095,248,94,249,95,9852,10000
0.20000000298023224,0.027608607389362567,0.009947218838814454,0.0273,0.0099,272,98,273,99,9852,10000
0.22499999403953552,0.030349167681688997,0.010962241169305725,0.03,0.0108,299,108,300,108,9852,10000
0.25,0.03339423467316281,0.011063743402354852,0.0331,0.011,329,109,331,110,9852,10000
0.2750000059604645,0.036642306130734874,0.011368250101502234,0.0363,0.0112,361,112,363,112,9852,10000
0.30000001192092896,0.04090539991879821,0.011571254567600487,0.0405,0.0115,403,114,405,115,9852,10000
0.32499998807907104,0.047198538367844094,0.013702801461632157,0.0467,0.0135,465,135,467,135,9852,10000
0.3499999940395355,0.058972797401542834,0.015732846122614698,0.0583,0.0155,581,155,583,155,9852,10000
0.375,0.0757206658546488,0.019183922046285017,0.0748,0.0189,746,189,748,189,9852,10000
0.4000000059604645,0.0861753958587089,0.012180267965895249,0.0851,0.012,849,120,851,120,9852,10000
0.42500001192092896,0.0940925700365408,0.00903369874137231,0.0929,0.0089,927,89,929,89,9852,10000
0.44999998807907104,0.09652862362971985,0.0030450669914738123,0.0953,0.003,951,30,953,30,9852,10000
0.4749999940395355,0.09734064149411287,0.0008120178643930166,0.0961,0.0008,959,8,961,8,9852,10000
0.5,0.09754364596021113,0.0003045066991473812,0.0963,0.0003,961,3,963,3,9852,10000
0.5249999761581421,0.09764514819326026,0.00010150223304912708,0.0964,0.0001,962,1,964,1,9852,10000
0.550000011920929,0.09774665042630938,0.00010150223304912708,0.0965,0.0001,963,1,965,1,9852,10000
0.574999988079071,0.09774665042630938,0.0,0.0965,0.0,963,0,965,0,9852,10000
0.6000000238418579,0.09774665042630938,0.0,0.0965,0.0,963,0,965,0,9852,10000
0.625,0.09774665042630938,0.0,0.0965,0.0,963,0,965,0,9852,10000
0.6499999761581421,0.09774665042630938,0.0,0.0965,0.0,963,0,965,0,9852,10000
0.675000011920929,0.09774665042630938,0.0,0.0965,0.0,963,0,965,0,9852,10000
0.699999988079071,0.09774665042630938,0.0,0.0965,0.0,963,0,965,0,9852,10000
0.7250000238418579,0.09774665042630938,0.0,0.0965,0.0,963,0,965,0,9852,10000
0.75,0.09774665042630938,0.0,0.0965,0.0,963,0,965,0,9852,10000
0.7749999761581421,0.09774665042630938,0.0,0.0965,0.0,963,0,965,0,9852,10000
0.800000011920929,0.09774665042630938,0.0,0.0965,0.0,963,0,965,0,9852,10000
