epsilon,icr_cum,icr_instant,icr_cum_all,icr_instant_all,n_cum,n_instant,n_cum_all,n_instant_all,n_clean_correct,n_total
0.0,0.0019419460343417824,0.0019419460343417824,0.0019,0.0019,19,19,19,19,9784,10000
0.02500000037252903,0.003475061324611611,0.002350776778413737,0.0037,0.0026,34,23,37,26,9784,10000
0.05000000074505806,0.004394930498773508,0.001635322976287817,0.0046,0.0017,43,16,46,17,9784,10000
0.07500000298023224,0.005212591986917416,0.0015331152902698284,0.0054,0.0015,51,15,54,15,9784,10000
0.10000000149011612,0.006030253475061325,0.001635322976287817,0.0062,0.0016,59,16,62,16,9784,10000
0.125,0.008074407195421096,0.002964022894521668,0.0082,0.0029,79,29,82,29,9784,10000
0.15000000596046448,0.010016353229762878,0.003475061324611611,0.0101,0.0034,98,34,101,34,9784,10000
0.17499999701976776,0.012367130008176614,0.004803761242845462,0.0124,0.0047,121,47,124,47,9784,10000
0.20000000298023224,0.014513491414554375,0.004497138184791497,0.0145,0.0044,142,44,145,44,9784,10000
0.22499999403953552,0.017375306623058053,0.004599345870809485,0.0173,0.0045,170,45,173,45,9784,10000
0.25,0.0205437448896157,0.006336876533115291,0.0204,0.0062,201,62,204,62,9784,10000
0.2750000059604645,0.0241210139002453,0.007154538021259199,0.0239,0.007,236,70,239,70,9784,10000
0.30000001192092896,0.02749386753883892,0.006847914963205233,0.0272,0.0067,269,67,272,67,9784,10000
0.32499998807907104,0.03740801308258381,0.01195829926410466,0.0369,0.0117,366,117,369,117,9784,10000
0.3499999940395355,0.05212591986917416,0.015842191332788226,0.0513,0.0155,510,155,513,155,9784,10000
0.375,0.06888798037612429,0.017477514309076042,0.0677,0.0171,674,171,677,171,9784,10000
0.4000000059604645,0.07921095666394112,0.011651676206050695,0.0778,0.0114,775,114,778,114,9784,10000
0.42500001192092896,0.08329926410466067,0.004394930498773508,0.0818,0.0043,815,43,818,43,9784,10000
0.44999998807907104,0.08442354865085855,0.0011242845461978742,0.0829,0.0011,826,11,829,11,9784,10000
0.4749999940395355,0.08462796402289452,0.00030662305805396567,0.0831,0.0003,828,3,831,3,9784,10000
0.5,0.0848323793949305,0.0002044153720359771,0.0833,0.0002,830,2,833,2,9784,10000
0.5249999761581421,0.0848323793949305,0.0,0.0833,0.0,830,0,833,0,9784,10000
0.550000011920929,0.0848323793949305,0.0,0.0833,0.0,830,0,833,0,9784,10000
0.574999988079071,0.0848323793949305,0.0,0.0833,0.0,830,0,833,0,9784,10000
0.6000000238418579,0.0848323793949305,0.0,0.0833,0.0,830,0,833,0,9784,10000
0.625,0.0848323793949305,0.0,0.0833,0.0,830,0,833,0,9784,10000
0.6499999761581421,0.0848323793949305,0.0,0.0833,0.0,830,0,833,0,9784,10000
0.675000011920929,0.0848323793949305,0.0,0.0833,0.0,830,0,833,0,9784,10000
0.699999988079071,0.0848323793949305,0.0,0.0833,0.0,830,0,833,0,9784,10000
0.7250000238418579,0.0848323793949305,0.0,0.0833,0.0,830,0,833,0,9784,10000
0.75,0.0848323793949305,0.0,0.0833,0.0,830,0,833,0,9784,10000
0.7749999761581421,0.0848323793949305,0.0,0.0833,0.0,830,0,833,0,9784,10000
0.800000011920929,0.0848323793949305,0.0,0.0833,0.0,830,0,833,0,9784,10000
