epsilon,icr_cum,icr_instant,icr_cum_all,icr_instant_all,n_cum,n_instant,n_cum_all,n_instant_all,n_clean_correct,n_total
0.0,0.00272975432211101,0.00272975432211101,0.0027,0.0027,27,27,27,27,9891,10000
0.02500000037252903,0.025882115054089577,0.023152360731978565,0.0256,0.0229,256,229,256,229,9891,10000
0.05000000074505806,0.0554039025376605,0.03356586796077242,0.0548,0.0332,548,332,548,332,9891,10000
0.07500000298023224,0.07683752906682843,0.03670003033060358,0.0761,0.0364,760,363,761,364,9891,10000
0.10000000149011612,0.09503589121423517,0.039227580628854515,0.0941,0.0389,940,388,941,389,9891,10000
0.125,0.110807805075321,0.04094631483166515,0.1097,0.0406,1096,405,1097,406,9891,10000
0.15000000596046448,0.12698412698412698,0.040339702760084924,0.1257,0.04,1256,399,1257,400,9891,10000
0.17499999701976776,0.14123951066626225,0.038924274593064405,0.1399,0.0386,1397,385,1399,386,9891,10000
0.20000000298023224,0.15711252653927812,0.04094631483166515,0.1557,0.0406,1554,405,1557,406,9891,10000
0.22499999403953552,0.17197452229299362,0.04145182489131534,0.1705,0.0412,1701,410,1705,412,9891,10000
0.25,0.18602770195126883,0.03760994843797392,0.1844,0.0373,1840,372,1844,373,9891,10000
0.2750000059604645,0.20230512587200486,0.03710443837832373,0.2005,0.0368,2001,367,2005,368,9891,10000
0.30000001192092896,0.21929026387625114,0.0429683550702659,0.2174,0.0426,2169,425,2174,426,9891,10000
0.32499998807907104,0.23465776968961682,0.038924274593064405,0.2328,0.0388,2321,385,2328,388,9891,10000
0.3499999940395355,0.25184511171772317,0.04124962086745526,0.2498,0.0408,2491,408,2498,408,9891,10000
0.375,0.26741482155494894,0.039834192700434735,0.2652,0.0395,2645,394,2652,395,9891,10000
0.4000000059604645,0.2823779193205945,0.03740774441411384,0.2801,0.0372,2793,370,2801,372,9891,10000
0.42500001192092896,0.2954200788595693,0.03548680618744313,0.293,0.0351,2922,351,2930,351,9891,10000
0.44999998807907104,0.30886664644626427,0.035689010211303204,0.3063,0.0353,3055,353,3063,353,9891,10000
0.4749999940395355,0.32302092811646954,0.03326256192498231,0.3203,0.0329,3195,329,3203,329,9891,10000
0.5,0.3356586796077242,0.034172480032352646,0.3328,0.0339,3320,338,3328,339,9891,10000
0.5249999761581421,0.346072186836518,0.03113941967445152,0.3431,0.0308,3423,308,3431,308,9891,10000
0.550000011920929,0.35466585785057125,0.028712971388130625,0.3517,0.0285,3508,284,3517,285,9891,10000
0.574999988079071,0.3638661409362046,0.029825093519361034,0.3608,0.0295,3599,295,3608,295,9891,10000
0.6000000238418579,0.3726620159741179,0.02699423718531999,0.3695,0.0268,3686,267,3695,268,9891,10000
0.625,0.3808512789404509,0.025275502982509353,0.3777,0.0252,3767,250,3777,252,9891,10000
0.6499999761581421,0.3863107875846729,0.022343544636538266,0.3831,0.0223,3821,221,3831,223,9891,10000
0.675000011920929,0.3910625821453847,0.020827014457587705,0.3878,0.0206,3868,206,3878,206,9891,10000
0.699999988079071,0.39530886664644627,0.017793954099686583,0.392,0.0177,3910,176,3920,177,9891,10000
0.7250000238418579,0.4001617632190881,0.01910828025477707,0.3968,0.019,3958,189,3968,190,9891,10000
0.75,0.40400363967242947,0.017996158123546657,0.4006,0.0178,3996,178,4006,178,9891,10000
0.7749999761581421,0.4077444141138409,0.01920938226670711,0.4043,0.019,4033,190,4043,190,9891,10000
0.800000011920929,0.41148518855525223,0.018602770195126885,0.408,0.0184,4070,184,4080,184,9891,10000
