gamma,epsilon,accuracy,suppressed_matches
0.0,0.0,0.9919999837875366,0.0
0.0,0.05,0.09600000083446503,0.0
0.0,0.1,0.0,0.0
0.0,0.2,0.0,0.0
0.0,0.3,0.0,0.0
0.1,0.0,0.9919999837875366,0.0
0.1,0.05,0.11999999731779099,0.45662100456621
0.1,0.1,0.0,0.0
0.1,0.2,0.0,0.0
0.1,0.3,0.0,0.0
0.5,0.0,0.9919999837875366,0.0
0.5,0.05,0.11599999666213989,0.0
0.5,0.1,0.0,0.0
0.5,0.2,0.0,0.0
0.5,0.3,0.0,0.0
1.0,0.0,0.9919999837875366,0.0
1.0,0.05,0.13199999928474426,1.3574660633484164
1.0,0.1,0.0,0.0
1.0,0.2,0.0,0.0
1.0,0.3,0.0,0.0
5.0,0.0,0.9879999756813049,0.0
5.0,0.05,0.15199999511241913,4.504504504504505
5.0,0.1,0.0,0.0
5.0,0.2,0.0,0.0
5.0,0.3,0.0,0.0
10.0,0.0,0.984000027179718,0.0
10.0,0.05,0.18400000035762787,9.134615384615383
10.0,0.1,0.004000000189989805,0.0
10.0,0.2,0.0,0.0
10.0,0.3,0.0,0.0
