model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches
B30-FT-E-M,2,False,0.0,0.0,0.9960000514984131,0.0
B30-FT-E-M,2,False,0.0,0.025,0.9960000514984131,0.0
B30-FT-E-M,2,False,0.0,0.05,0.9920000433921814,0.0
B30-FT-E-M,2,False,0.0,0.75,0.0,0.0
B30-FT-E-M,2,False,0.0,0.1,0.9920000433921814,0.0
B30-FT-E-M,2,False,10.0,0.0,0.9800000190734863,0.0
B30-FT-E-M,2,False,10.0,0.025,0.9320000410079956,0.0
B30-FT-E-M,2,False,10.0,0.05,0.8320000171661377,0.0
B30-FT-E-M,2,False,10.0,0.75,0.0,0.0
B30-FT-E-M,2,False,10.0,0.1,0.484000027179718,0.0
B30-FT-E-M,2,False,100.0,0.0,0.8240000605583191,0.0
B30-FT-E-M,2,False,100.0,0.025,0.5,0.0
B30-FT-E-M,2,False,100.0,0.05,0.2800000011920929,0.0
B30-FT-E-M,2,False,100.0,0.75,0.0,0.0
B30-FT-E-M,2,False,100.0,0.1,0.13600000739097595,0.0
B30-FT-E-M,2,False,1000.0,0.0,0.7320000529289246,0.0
B30-FT-E-M,2,False,1000.0,0.025,0.5879999995231628,0.0
B30-FT-E-M,2,False,1000.0,0.05,0.5640000104904175,0.0
B30-FT-E-M,2,False,1000.0,0.75,0.4520000219345093,37.5
B30-FT-E-M,2,False,1000.0,0.1,0.5800000429153442,0.0
B30-FT-E-M,3,False,0.0,0.0,0.9960000514984131,0.0
B30-FT-E-M,3,False,0.0,0.025,0.9960000514984131,0.0
B30-FT-E-M,3,False,0.0,0.05,0.9920000433921814,0.0
B30-FT-E-M,3,False,0.0,0.75,0.0,0.0
B30-FT-E-M,3,False,0.0,0.1,0.9920000433921814,0.0
B30-FT-E-M,3,False,10.0,0.0,0.9760000705718994,0.0
B30-FT-E-M,3,False,10.0,0.025,0.9200000166893005,0.0
B30-FT-E-M,3,False,10.0,0.05,0.8240000605583191,0.0
B30-FT-E-M,3,False,10.0,0.75,0.0,0.0
B30-FT-E-M,3,False,10.0,0.1,0.4480000138282776,0.0
B30-FT-E-M,3,False,100.0,0.0,0.8040000200271606,0.0
B30-FT-E-M,3,False,100.0,0.025,0.48000001907348633,0.0
B30-FT-E-M,3,False,100.0,0.05,0.25200000405311584,0.0
B30-FT-E-M,3,False,100.0,0.75,0.00800000037997961,0.4032258064516129
B30-FT-E-M,3,False,100.0,0.1,0.12000000476837158,0.0
B30-FT-E-M,3,False,1000.0,0.0,0.7320000529289246,0.0
B30-FT-E-M,3,False,1000.0,0.025,0.5960000157356262,0.0
B30-FT-E-M,3,False,1000.0,0.05,0.5680000185966492,0.0
B30-FT-E-M,3,False,1000.0,0.75,0.484000027179718,43.96135265700483
B30-FT-E-M,3,False,1000.0,0.1,0.5879999995231628,0.0
B30-FT-E-M,2,True,0.0,0.0,0.9960000514984131,0.0
B30-FT-E-M,2,True,0.0,0.025,0.9960000514984131,0.0
B30-FT-E-M,2,True,0.0,0.05,0.9920000433921814,0.0
B30-FT-E-M,2,True,0.0,0.75,0.0,0.0
B30-FT-E-M,2,True,0.0,0.1,0.9920000433921814,0.0
B30-FT-E-M,2,True,10.0,0.0,0.9760000705718994,0.0
B30-FT-E-M,2,True,10.0,0.025,0.9280000329017639,0.0
B30-FT-E-M,2,True,10.0,0.05,0.8720000386238098,0.0
B30-FT-E-M,2,True,10.0,0.75,0.0,0.0
B30-FT-E-M,2,True,10.0,0.1,0.5840000510215759,0.0
B30-FT-E-M,2,True,100.0,0.0,0.8200000524520874,0.0
B30-FT-E-M,2,True,100.0,0.025,0.5080000162124634,0.0
B30-FT-E-M,2,True,100.0,0.05,0.2600000202655792,0.0
B30-FT-E-M,2,True,100.0,0.75,0.0,0.0
B30-FT-E-M,2,True,100.0,0.1,0.09600000083446503,0.0
B30-FT-E-M,2,True,1000.0,0.0,0.7200000286102295,0.0
B30-FT-E-M,2,True,1000.0,0.025,0.5960000157356262,0.0
B30-FT-E-M,2,True,1000.0,0.05,0.5800000429153442,0.0
B30-FT-E-M,2,True,1000.0,0.75,0.4440000355243683,34.74178403755869
B30-FT-E-M,2,True,1000.0,0.1,0.5920000076293945,0.0
B30-FT-E-M,3,True,0.0,0.0,0.9960000514984131,0.0
B30-FT-E-M,3,True,0.0,0.025,0.9960000514984131,0.0
B30-FT-E-M,3,True,0.0,0.05,0.9920000433921814,0.0
B30-FT-E-M,3,True,0.0,0.75,0.0,0.0
B30-FT-E-M,3,True,0.0,0.1,0.9920000433921814,0.0
B30-FT-E-M,3,True,10.0,0.0,0.9720000624656677,0.0
