model,gamma,epsilon,accuracy,suppressed_matches
B30-FT-E-M,0.0,0.0,0.9959999918937683,0.0
B30-FT-E-M,0.0,0.025,0.9959999918937683,0.0
B30-FT-E-M,0.0,0.05,0.9919999837875366,0.0
B30-FT-E-M,0.0,0.075,0.9919999837875366,0.0
B30-FT-E-M,0.0,0.1,0.9919999837875366,0.0
B30-FT-E-M,0.0,0.15,0.9760000109672546,0.0
B30-FT-E-M,0.0,0.2,0.9559999704360962,0.0
B30-FT-E-M,0.0,0.25,0.9399999976158142,0.0
B30-FT-E-M,0.0,0.3,0.9279999732971191,0.0
B30-FT-E-M,1.0,0.0,0.9959999918937683,0.0
B30-FT-E-M,1.0,0.025,0.9959999918937683,0.0
B30-FT-E-M,1.0,0.05,0.9919999837875366,0.0
B30-FT-E-M,1.0,0.075,0.984000027179718,0.0
B30-FT-E-M,1.0,0.1,0.9800000190734863,0.0
B30-FT-E-M,1.0,0.15,0.9599999785423279,0.0
B30-FT-E-M,1.0,0.2,0.9240000247955322,0.0
B30-FT-E-M,1.0,0.25,0.8960000276565552,0.0
B30-FT-E-M,1.0,0.3,0.8640000224113464,0.0
B30-FT-E-M,10.0,0.0,0.9879999756813049,0.0
B30-FT-E-M,10.0,0.025,0.9639999866485596,0.0
B30-FT-E-M,10.0,0.05,0.8920000195503235,0.0
B30-FT-E-M,10.0,0.075,0.7720000147819519,0.0
B30-FT-E-M,10.0,0.1,0.6520000100135803,0.0
B30-FT-E-M,10.0,0.15,0.492000013589859,0.0
B30-FT-E-M,10.0,0.2,0.3479999899864197,0.0
B30-FT-E-M,10.0,0.25,0.24799999594688416,0.0
B30-FT-E-M,10.0,0.3,0.14800000190734863,0.0
B30-FT-E-M,50.0,0.0,0.9319999814033508,0.0
B30-FT-E-M,50.0,0.025,0.6200000047683716,0.0
B30-FT-E-M,50.0,0.05,0.3240000009536743,0.0
B30-FT-E-M,50.0,0.075,0.164000004529953,0.0
B30-FT-E-M,50.0,0.1,0.10000000149011612,0.0
B30-FT-E-M,50.0,0.15,0.04399999976158142,0.0
B30-FT-E-M,50.0,0.2,0.024000000208616257,0.0
B30-FT-E-M,50.0,0.25,0.012000000104308128,0.0
B30-FT-E-M,50.0,0.3,0.00800000037997961,0.0
B30-FT-E-M,100.0,0.0,0.871999979019165,0.0
B30-FT-E-M,100.0,0.025,0.515999972820282,0.0
B30-FT-E-M,100.0,0.05,0.2800000011920929,0.0
B30-FT-E-M,100.0,0.075,0.19200000166893005,0.0
B30-FT-E-M,100.0,0.1,0.11599999666213989,0.0
B30-FT-E-M,100.0,0.15,0.0560000017285347,0.0
B30-FT-E-M,100.0,0.2,0.02800000086426735,0.0
B30-FT-E-M,100.0,0.25,0.019999999552965164,0.0
B30-FT-E-M,100.0,0.3,0.00800000037997961,0.0
B30-FT-E-M,250.0,0.0,0.8040000200271606,0.0
B30-FT-E-M,250.0,0.025,0.5320000052452087,0.0
B30-FT-E-M,250.0,0.05,0.335999995470047,0.0
B30-FT-E-M,250.0,0.075,0.25200000405311584,0.0
B30-FT-E-M,250.0,0.1,0.20800000429153442,0.0
B30-FT-E-M,250.0,0.15,0.15600000321865082,0.0
B30-FT-E-M,250.0,0.2,0.14000000059604645,0.0
B30-FT-E-M,250.0,0.25,0.12399999797344208,0.0
B30-FT-E-M,250.0,0.3,0.10400000214576721,0.0
B30-FT-E-M,500.0,0.0,0.7639999985694885,0.0
B30-FT-E-M,500.0,0.025,0.5519999861717224,0.0
B30-FT-E-M,500.0,0.05,0.3959999978542328,0.0
B30-FT-E-M,500.0,0.075,0.3799999952316284,0.0
B30-FT-E-M,500.0,0.1,0.37599998712539673,0.0
B30-FT-E-M,500.0,0.15,0.36000001430511475,0.0
B30-FT-E-M,500.0,0.2,0.3400000035762787,0.0
B30-FT-E-M,500.0,0.25,0.335999995470047,0.0
B30-FT-E-M,500.0,0.3,0.29600000381469727,0.0
B30-FT-E-M,1000.0,0.0,0.7360000014305115,0.0
B30-FT-E-M,1000.0,0.025,0.5600000023841858,0.0
B30-FT-E-M,1000.0,0.05,0.5120000243186951,0.0
B30-FT-E-M,1000.0,0.075,0.5199999809265137,0.0
B30-FT-E-M,1000.0,0.1,0.5080000162124634,0.0
B30-FT-E-M,1000.0,0.15,0.5360000133514404,0.0
B30-FT-E-M,1000.0,0.2,0.5199999809265137,0.0
B30-FT-E-M,1000.0,0.25,0.47200000286102295,0.0
B30-FT-E-M,1000.0,0.3,0.46799999475479126,0.0
