model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches
B30,2,False,0.0,0.0,0.9920000433921814,0.0
B30,2,False,0.0,0.025,0.5480000376701355,0.0
B30,2,False,0.0,0.05,0.1120000034570694,0.0
B30,2,False,0.0,0.075,0.004000000189989805,0.0
B30,2,False,0.0,0.1,0.0,0.0
B30,2,False,0.0,0.125,0.0,0.0
B30,2,False,10.0,0.0,0.984000027179718,0.0
B30,2,False,10.0,0.025,0.6920000314712524,34.40860215053764
B30,2,False,10.0,0.05,0.18800000846385956,10.294117647058822
B30,2,False,10.0,0.075,0.036000002175569534,2.083333333333333
B30,2,False,10.0,0.1,0.0,0.40650406504065045
B30,2,False,10.0,0.125,0.0,0.0
B30,2,False,15.0,0.0,0.9760000705718994,0.0
B30,2,False,15.0,0.025,0.6520000100135803,33.72093023255814
B30,2,False,15.0,0.05,0.24400001764297485,15.706806282722512
B30,2,False,15.0,0.075,0.04000000283122063,2.083333333333333
B30,2,False,15.0,0.1,0.00800000037997961,1.2244897959183674
B30,2,False,15.0,0.125,0.0,0.0
B30,2,False,20.0,0.0,0.968000054359436,0.0
B30,2,False,20.0,0.025,0.6360000371932983,34.21052631578947
B30,2,False,20.0,0.05,0.25600001215934753,20.903954802259886
B30,2,False,20.0,0.075,0.04400000348687172,5.88235294117647
B30,2,False,20.0,0.1,0.012000000104308128,1.2195121951219512
B30,2,False,20.0,0.125,0.004000000189989805,0.4048582995951417
B30,2,False,25.0,0.0,0.956000030040741,0.0
B30,2,False,25.0,0.025,0.6040000319480896,39.726027397260275
B30,2,False,25.0,0.05,0.2720000147819519,18.75
B30,2,False,25.0,0.075,0.06400000303983688,9.82905982905983
B30,2,False,25.0,0.1,0.03200000151991844,3.3057851239669422
B30,2,False,25.0,0.125,0.00800000037997961,0.8163265306122449
B30,2,False,30.0,0.0,0.9480000734329224,0.0
B30,2,False,30.0,0.025,0.5840000510215759,31.03448275862069
B30,2,False,30.0,0.05,0.2680000066757202,22.085889570552148
B30,2,False,30.0,0.075,0.06800000369548798,9.90990990990991
B30,2,False,30.0,0.1,0.036000002175569534,3.7037037037037033
B30,2,False,30.0,0.125,0.020000001415610313,1.6064257028112447
B30,2,False,40.0,0.0,0.9120000600814819,0.0
B30,2,False,40.0,0.025,0.5320000052452087,34.61538461538461
B30,2,False,40.0,0.05,0.30400002002716064,21.678321678321677
B30,2,False,40.0,0.075,0.09600000083446503,8.653846153846153
B30,2,False,40.0,0.1,0.052000001072883606,4.602510460251046
B30,2,False,40.0,0.125,0.020000001415610313,1.6326530612244898
B30,2,False,50.0,0.0,0.8920000195503235,0.0
B30,2,False,50.0,0.025,0.5160000324249268,35.84905660377358
B30,2,False,50.0,0.05,0.29200002551078796,21.374045801526716
B30,2,False,50.0,0.075,0.09600000083446503,10.44776119402985
B30,2,False,50.0,0.1,0.036000002175569534,4.310344827586207
B30,2,False,50.0,0.125,0.024000000208616257,3.2520325203252036
B30,3,False,0.0,0.0,0.9920000433921814,0.0
B30,3,False,0.0,0.025,0.5440000295639038,0.0
B30,3,False,0.0,0.05,0.1080000028014183,0.0
B30,3,False,0.0,0.075,0.00800000037997961,0.0
B30,3,False,0.0,0.1,0.0,0.0
B30,3,False,0.0,0.125,0.0,0.0
B30,3,False,10.0,0.0,0.9880000352859497,0.0
B30,3,False,10.0,0.025,0.6760000586509705,29.47368421052631
B30,3,False,10.0,0.05,0.1680000126361847,9.090909090909092
B30,3,False,10.0,0.075,0.03200000151991844,1.6736401673640167
B30,3,False,10.0,0.1,0.0,0.0
B30,3,False,10.0,0.125,0.0,0.0
B30,3,False,15.0,0.0,0.9760000705718994,0.0
B30,3,False,15.0,0.025,0.6480000019073486,30.681818181818183
B30,3,False,15.0,0.05,0.19600000977516174,10.99476439790576
B30,3,False,15.0,0.075,0.04000000283122063,2.941176470588235
B30,3,False,15.0,0.1,0.004000000189989805,0.819672131147541
B30,3,False,15.0,0.125,0.004000000189989805,0.0
B30,3,False,20.0,0.0,0.9720000624656677,0.0
B30,3,False,20.0,0.025,0.6080000400543213,32.89473684210527
B30,3,False,20.0,0.05,0.24800001084804535,18.39080459770115
B30,3,False,20.0,0.075,0.06000000238418579,6.837606837606838
B30,3,False,20.0,0.1,0.00800000037997961,0.8163265306122449
B30,3,False,20.0,0.125,0.0,0.0
B30,3,False,25.0,0.0,0.9600000381469727,0.0
B30,3,False,25.0,0.025,0.5800000429153442,36.11111111111111
B30,3,False,25.0,0.05,0.2639999985694885,23.25581395348837
B30,3,False,25.0,0.075,0.07200000435113907,7.555555555555555
B30,3,False,25.0,0.1,0.02800000086426735,1.6326530612244898
B30,3,False,25.0,0.125,0.00800000037997961,0.8097165991902834
B30,3,False,30.0,0.0,0.9480000734329224,0.0
B30,3,False,30.0,0.025,0.5600000023841858,33.87096774193548
B30,3,False,30.0,0.05,0.2639999985694885,22.5
B30,3,False,30.0,0.075,0.06800000369548798,11.659192825112108
B30,3,False,30.0,0.1,0.02800000086426735,2.5210084033613445
B30,3,False,30.0,0.125,0.012000000104308128,0.4032258064516129
B30,3,False,40.0,0.0,0.9280000329017639,0.0
B30,3,False,40.0,0.025,0.5360000133514404,36.0655737704918
B30,3,False,40.0,0.05,0.2680000066757202,24.137931034482758
B30,3,False,40.0,0.075,0.08400000631809235,10.2803738317757
B30,3,False,40.0,0.1,0.036000002175569534,2.928870292887029
B30,3,False,40.0,0.125,0.012000000104308128,1.6194331983805668
B30,3,False,50.0,0.0,0.9080000519752502,0.0
B30,3,False,50.0,0.025,0.5,34.0
B30,3,False,50.0,0.05,0.2600000202655792,24.242424242424242
B30,3,False,50.0,0.075,0.09600000083446503,7.462686567164178
B30,3,False,50.0,0.1,0.04000000283122063,5.150214592274678
B30,3,False,50.0,0.125,0.024000000208616257,2.8688524590163933
B30,2,False,0.0,0.0,0.9920000433921814,0.0
B30,2,False,0.0,0.025,0.5360000133514404,0.0
B30,2,False,0.0,0.05,0.11600000411272049,0.0
B30,2,False,0.0,0.075,0.012000000104308128,0.0
B30,2,False,0.0,0.1,0.0,0.0
B30,2,False,0.0,0.125,0.0,0.0
B30,2,False,10.0,0.0,0.984000027179718,0.0
B30,2,False,10.0,0.025,0.7000000476837158,35.41666666666667
B30,2,False,10.0,0.05,0.18400001525878906,8.866995073891626
B30,2,False,10.0,0.075,0.02800000086426735,1.6260162601626018
B30,2,False,10.0,0.1,0.004000000189989805,0.8130081300813009
B30,2,False,10.0,0.125,0.0,0.0
B30,2,False,15.0,0.0,0.9760000705718994,0.0
B30,2,False,15.0,0.025,0.6640000343322754,33.734939759036145
B30,2,False,15.0,0.05,0.22800001502037048,15.343915343915343
B30,2,False,15.0,0.075,0.04800000041723251,4.166666666666666
B30,2,False,15.0,0.1,0.00800000037997961,0.0
B30,2,False,15.0,0.125,0.0,0.0
B30,2,False,20.0,0.0,0.968000054359436,0.0
B30,2,False,20.0,0.025,0.6440000534057617,39.24050632911392
B30,2,False,20.0,0.05,0.2680000066757202,20.33898305084746
B30,2,False,20.0,0.075,0.06000000238418579,6.866952789699571
B30,2,False,20.0,0.1,0.00800000037997961,2.0408163265306123
B30,2,False,20.0,0.125,0.0,0.0
B30,2,False,25.0,0.0,0.956000030040741,0.0
B30,2,False,25.0,0.025,0.5800000429153442,32.3943661971831
B30,2,False,25.0,0.05,0.2680000066757202,21.176470588235293
B30,2,False,25.0,0.075,0.08000000566244125,9.130434782608695
B30,2,False,25.0,0.1,0.02800000086426735,2.8688524590163933
B30,2,False,25.0,0.125,0.00800000037997961,0.8097165991902834
B30,2,False,30.0,0.0,0.9480000734329224,0.0
B30,2,False,30.0,0.025,0.5840000510215759,30.158730158730158
B30,2,False,30.0,0.05,0.2800000011920929,21.518987341772153
B30,2,False,30.0,0.075,0.08000000566244125,10.36036036036036
B30,2,False,30.0,0.1,0.03200000151991844,2.941176470588235
B30,2,False,30.0,0.125,0.01600000075995922,2.05761316872428
B30,2,False,40.0,0.0,0.9120000600814819,0.0
B30,2,False,40.0,0.025,0.5320000052452087,33.92857142857143
B30,2,False,40.0,0.05,0.29600000381469727,21.62162162162162
B30,2,False,40.0,0.075,0.09600000083446503,11.682242990654206
B30,2,False,40.0,0.1,0.03200000151991844,3.7815126050420167
B30,2,False,40.0,0.125,0.020000001415610313,1.2345679012345678
B30,2,False,50.0,0.0,0.8920000195503235,0.0
B30,2,False,50.0,0.025,0.4960000216960907,35.84905660377358
B30,2,False,50.0,0.05,0.2720000147819519,24.06015037593985
B30,2,False,50.0,0.075,0.09200000762939453,10.83743842364532
B30,2,False,50.0,0.1,0.04000000283122063,5.485232067510549
B30,2,False,50.0,0.125,0.02800000086426735,3.3057851239669422
B30,3,False,0.0,0.0,0.9920000433921814,0.0
B30,3,False,0.0,0.025,0.5360000133514404,0.0
B30,3,False,0.0,0.05,0.13600000739097595,0.0
B30,3,False,0.0,0.075,0.004000000189989805,0.0
B30,3,False,0.0,0.1,0.0,0.0
B30,3,False,0.0,0.125,0.0,0.0
B30,3,False,10.0,0.0,0.9880000352859497,0.0
B30,3,False,10.0,0.025,0.6720000505447388,27.659574468085108
B30,3,False,10.0,0.05,0.19200000166893005,9.405940594059405
