model,gamma,epsilon,accuracy,suppressed_matches
B30,0.0,0.0,0.9919999837875366,0.0
B30,0.0,0.025,0.5519999861717224,0.0
B30,0.0,0.05,0.1120000034570694,0.0
B30,0.0,0.075,0.00800000037997961,0.0
B30,0.0,0.1,0.0,0.0
B30,0.0,0.15,0.0,0.0
B30,0.0,0.2,0.0,0.0
B30,0.0,0.25,0.0,0.0
B30,0.0,0.3,0.0,0.0
B30,1.0,0.0,0.9919999837875366,0.0
B30,1.0,0.025,0.5640000104904175,6.0344827586206895
B30,1.0,0.05,0.13600000739097595,1.3574660633484164
B30,1.0,0.075,0.004000000189989805,0.0
B30,1.0,0.1,0.0,0.0
B30,1.0,0.15,0.0,0.0
B30,1.0,0.2,0.0,0.0
B30,1.0,0.25,0.0,0.0
B30,1.0,0.3,0.0,0.0
B30,10.0,0.0,0.984000027179718,0.0
B30,10.0,0.025,0.6800000071525574,29.629629629629626
B30,10.0,0.05,0.18000000715255737,9.345794392523365
B30,10.0,0.075,0.024000000208616257,1.2295081967213115
B30,10.0,0.1,0.004000000189989805,0.0
B30,10.0,0.15,0.0,0.0
B30,10.0,0.2,0.0,0.0
B30,10.0,0.25,0.0,0.0
B30,10.0,0.3,0.0,0.0
B30,50.0,0.0,0.9039999842643738,0.0
B30,50.0,0.025,0.5320000052452087,33.9622641509434
B30,50.0,0.05,0.2840000092983246,23.026315789473685
B30,50.0,0.075,0.09600000083446503,9.615384615384617
B30,50.0,0.1,0.035999998450279236,3.8135593220338984
B30,50.0,0.15,0.01600000075995922,0.8130081300813009
B30,50.0,0.2,0.00800000037997961,0.4016064257028112
B30,50.0,0.25,0.0,0.0
B30,50.0,0.3,0.0,0.0
B30,100.0,0.0,0.7799999713897705,0.0
B30,100.0,0.025,0.4519999921321869,25.0
B30,100.0,0.05,0.25200000405311584,17.708333333333336
B30,100.0,0.075,0.11999999731779099,7.909604519774012
B30,100.0,0.1,0.04800000041723251,4.225352112676056
B30,100.0,0.15,0.024000000208616257,2.8455284552845526
B30,100.0,0.2,0.01600000075995922,1.6129032258064515
B30,100.0,0.25,0.00800000037997961,0.8032128514056224
B30,100.0,0.3,0.00800000037997961,0.8032128514056224
B30,250.0,0.0,0.6759999990463257,0.0
B30,250.0,0.025,0.41999998688697815,10.526315789473683
B30,250.0,0.05,0.29600000381469727,3.7735849056603774
B30,250.0,0.075,0.20800000429153442,2.803738317757009
B30,250.0,0.1,0.11999999731779099,1.2269938650306749
B30,250.0,0.15,0.07199999690055847,0.4608294930875576
B30,250.0,0.2,0.04800000041723251,0.851063829787234
B30,250.0,0.25,0.03999999910593033,1.6597510373443984
B30,250.0,0.3,0.03200000151991844,1.2396694214876034
B30,500.0,0.0,0.6320000290870667,0.0
B30,500.0,0.025,0.4560000002384186,15.384615384615385
B30,500.0,0.05,0.4000000059604645,3.7037037037037033
B30,500.0,0.075,0.3880000114440918,2.083333333333333
B30,500.0,0.1,0.3319999873638153,0.0
B30,500.0,0.15,0.2720000147819519,0.684931506849315
B30,500.0,0.2,0.23999999463558197,2.1621621621621623
B30,500.0,0.25,0.2199999988079071,4.522613065326634
B30,500.0,0.3,0.23199999332427979,11.267605633802818
B30,1000.0,0.0,0.6039999723434448,0.0
B30,1000.0,0.025,0.515999972820282,25.0
B30,1000.0,0.05,0.5360000133514404,9.090909090909092
B30,1000.0,0.075,0.5239999890327454,3.8461538461538463
B30,1000.0,0.1,0.5199999809265137,2.0408163265306123
B30,1000.0,0.15,0.4959999918937683,4.3478260869565215
B30,1000.0,0.2,0.47600001096725464,3.3333333333333335
B30,1000.0,0.25,0.4399999976158142,10.81081081081081
B30,1000.0,0.3,0.4480000138282776,24.85549132947977
