model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches,harm_rate
B30-FT-E-M,1,False,0.0,0.0,0.9960000514984131,0.0,0.0
B30-FT-E-M,1,False,0.0,0.1,0.9920000433921814,0.0,0.0
B30-FT-E-M,1,False,0.0,0.2,0.9600000381469727,0.0,0.0
B30-FT-E-M,1,False,0.0,0.3,0.9240000247955322,0.0,0.0
B30-FT-E-M,1,False,0.0,0.325,0.8560000658035278,0.0,0.0
B30-FT-E-M,1,False,0.0,0.35,0.6240000128746033,0.0,0.0
B30-FT-E-M,1,False,0.0,0.375,0.2639999985694885,0.0,0.0
B30-FT-E-M,1,False,0.0,0.4,0.06000000238418579,0.0,0.0
B30-FT-E-M,1,False,0.0,0.45,0.004000000189989805,0.0,0.0
B30-FT-E-M,1,False,3.0,0.0,0.9960000514984131,0.0,0.0
B30-FT-E-M,1,False,3.0,0.1,0.9880000352859497,25.0,0.0
B30-FT-E-M,1,False,3.0,0.2,0.9760000705718994,37.5,0.0
B30-FT-E-M,1,False,3.0,0.3,0.9280000329017639,31.818181818181817,0.0
B30-FT-E-M,1,False,3.0,0.325,0.8600000143051147,7.5,0.0
B30-FT-E-M,1,False,3.0,0.35,0.6480000019073486,11.458333333333332,0.4
B30-FT-E-M,1,False,3.0,0.375,0.3320000171661377,10.27027027027027,0.0
B30-FT-E-M,1,False,3.0,0.4,0.09600000083446503,5.106382978723404,0.0
B30-FT-E-M,1,False,3.0,0.45,0.0,0.0,0.0
B30-FT-E-M,1,False,4.0,0.0,0.9960000514984131,0.0,0.0
B30-FT-E-M,1,False,4.0,0.1,0.9880000352859497,33.33333333333333,0.0
B30-FT-E-M,1,False,4.0,0.2,0.9760000705718994,27.27272727272727,0.4
B30-FT-E-M,1,False,4.0,0.3,0.9360000491142273,25.0,0.8
B30-FT-E-M,1,False,4.0,0.325,0.8800000548362732,15.789473684210526,0.4
B30-FT-E-M,1,False,4.0,0.35,0.6720000505447388,13.829787234042554,0.8
B30-FT-E-M,1,False,4.0,0.375,0.35200002789497375,12.432432432432433,0.0
B30-FT-E-M,1,False,4.0,0.4,0.14000000059604645,9.787234042553191,0.0
