model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches,harm_rate
B30-FT-E-M,2,False,25.0,0.3,0.9200000166893005,60.0,6.800000000000001
B30-FT-E-M,2,False,25.0,0.35,0.800000011920929,57.42574257425742,3.5999999999999996
B30-FT-E-M,2,False,25.0,0.375,0.6759999990463257,60.416666666666664,0.4
B30-FT-E-M,2,False,25.0,0.4,0.5440000295639038,57.74058577405857,0.0
B30-FT-E-M,3,False,25.0,0.3,0.8799999952316284,68.42105263157895,9.2
B30-FT-E-M,3,False,25.0,0.35,0.7879999876022339,56.25,4.8
B30-FT-E-M,3,False,25.0,0.375,0.6919999718666077,60.0,0.8
B30-FT-E-M,3,False,25.0,0.4,0.6240000128746033,63.29113924050633,0.0
B30-FT-E-M,2,True,25.0,0.3,0.9240000247955322,68.75,6.4
B30-FT-E-M,2,True,25.0,0.35,0.7760000228881836,56.310679611650485,4.0
B30-FT-E-M,2,True,25.0,0.375,0.6800000071525574,64.3979057591623,1.6
B30-FT-E-M,2,True,25.0,0.4,0.5600000023841858,58.47457627118644,0.0
B30-FT-E-M,3,True,25.0,0.3,0.9039999842643738,68.18181818181817,6.4
B30-FT-E-M,3,True,25.0,0.35,0.7879999876022339,60.78431372549019,4.0
B30-FT-E-M,3,True,25.0,0.375,0.6880000233650208,60.32608695652174,0.4
B30-FT-E-M,3,True,25.0,0.4,0.6079999804496765,60.68376068376068,0.0
