model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches,harm_rate
B30-FT-E-M,2,False,25.0,0.3,0.00800000037997961,0.0,92.80000000000001
B30-FT-E-M,2,False,25.0,0.35,0.0,0.0,48.4
B30-FT-E-M,2,False,25.0,0.375,0.0,0.0,13.600000000000001
B30-FT-E-M,2,False,25.0,0.4,0.0,0.0,2.8000000000000003
B30-FT-E-M,3,False,25.0,0.3,0.012000000104308128,0.0,93.60000000000001
B30-FT-E-M,3,False,25.0,0.35,0.0,0.0,48.4
B30-FT-E-M,3,False,25.0,0.375,0.0,0.0,12.8
B30-FT-E-M,3,False,25.0,0.4,0.0,0.0,1.6
B30-FT-E-M,2,True,25.0,0.3,0.012000000104308128,0.0,94.0
B30-FT-E-M,2,True,25.0,0.35,0.004000000189989805,0.0,51.2
B30-FT-E-M,2,True,25.0,0.375,0.0,0.0,16.400000000000002
B30-FT-E-M,2,True,25.0,0.4,0.0,0.0,4.0
B30-FT-E-M,3,True,25.0,0.3,0.00800000037997961,0.0,93.60000000000001
B30-FT-E-M,3,True,25.0,0.35,0.004000000189989805,0.0,50.0
B30-FT-E-M,3,True,25.0,0.375,0.0,0.0,15.6
B30-FT-E-M,3,True,25.0,0.4,0.0,0.0,4.3999999999999995
