model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches
B30,2,False,0.0,0.0,0.9920000433921814,0.0
B30,2,False,0.0,0.025,0.5400000214576721,0.0
B30,2,False,0.0,0.05,0.11600000411272049,0.0
B30,2,False,0.0,0.75,0.0,0.0
B30,2,False,0.0,0.1,0.0,0.0
B30,2,False,10.0,0.0,0.984000027179718,0.0
B30,2,False,10.0,0.025,0.6840000152587891,29.78723404255319
B30,2,False,10.0,0.05,0.2160000056028366,10.152284263959391
B30,2,False,10.0,0.75,0.0,0.0
B30,2,False,10.0,0.1,0.004000000189989805,0.0
B30,2,False,100.0,0.0,0.7760000228881836,0.0
B30,2,False,100.0,0.025,0.4400000274181366,28.125
B30,2,False,100.0,0.05,0.2240000069141388,19.54022988505747
B30,2,False,100.0,0.75,0.0,0.0
B30,2,False,100.0,0.1,0.04800000041723251,5.116279069767442
B30,2,False,1000.0,0.0,0.6040000319480896,0.0
B30,2,False,1000.0,0.025,0.5360000133514404,20.0
B30,2,False,1000.0,0.05,0.5760000348091125,12.5
B30,2,False,1000.0,0.75,0.4240000247955322,40.343347639484975
B30,2,False,1000.0,0.1,0.5840000510215759,2.7777777777777777
B30,3,False,0.0,0.0,0.9920000433921814,0.0
B30,3,False,0.0,0.025,0.5320000052452087,0.0
B30,3,False,0.0,0.05,0.1080000028014183,0.0
B30,3,False,0.0,0.75,0.0,0.0
B30,3,False,0.0,0.1,0.0,0.0
B30,3,False,10.0,0.0,0.9880000352859497,0.0
B30,3,False,10.0,0.025,0.6720000505447388,20.87912087912088
B30,3,False,10.0,0.05,0.20000000298023224,11.224489795918368
B30,3,False,10.0,0.75,0.0,0.0
B30,3,False,10.0,0.1,0.004000000189989805,0.8064516129032258
B30,3,False,100.0,0.0,0.7880000472068787,0.0
B30,3,False,100.0,0.025,0.4400000274181366,29.72972972972973
B30,3,False,100.0,0.05,0.2240000069141388,22.916666666666664
B30,3,False,100.0,0.75,0.004000000189989805,0.4032258064516129
B30,3,False,100.0,0.1,0.04800000041723251,3.3333333333333335
B30,3,False,1000.0,0.0,0.6080000400543213,0.0
B30,3,False,1000.0,0.025,0.5240000486373901,25.0
B30,3,False,1000.0,0.05,0.5720000267028809,20.0
B30,3,False,1000.0,0.75,0.47200003266334534,45.06437768240343
B30,3,False,1000.0,0.1,0.5840000510215759,6.451612903225806
B30,2,True,0.0,0.0,0.9920000433921814,0.0
B30,2,True,0.0,0.025,0.5360000133514404,0.0
B30,2,True,0.0,0.05,0.10400000214576721,0.0
B30,2,True,0.0,0.75,0.0,0.0
B30,2,True,0.0,0.1,0.0,0.0
B30,2,True,10.0,0.0,0.9880000352859497,0.0
B30,2,True,10.0,0.025,0.656000018119812,33.33333333333333
B30,2,True,10.0,0.05,0.15600000321865082,7.211538461538461
B30,2,True,10.0,0.75,0.0,0.0
B30,2,True,10.0,0.1,0.004000000189989805,0.4032258064516129
B30,2,True,100.0,0.0,0.7520000338554382,0.0
B30,2,True,100.0,0.025,0.3800000250339508,18.91891891891892
B30,2,True,100.0,0.05,0.1680000126361847,8.16326530612245
B30,2,True,100.0,0.75,0.0,0.0
B30,2,True,100.0,0.1,0.04400000348687172,4.128440366972478
B30,2,True,1000.0,0.0,0.5840000510215759,0.0
B30,2,True,1000.0,0.025,0.5400000214576721,33.33333333333333
B30,2,True,1000.0,0.05,0.6000000238418579,15.384615384615385
B30,2,True,1000.0,0.75,0.4400000274181366,40.43478260869565
B30,2,True,1000.0,0.1,0.6000000238418579,5.555555555555555
B30,3,True,0.0,0.0,0.9920000433921814,0.0
B30,3,True,0.0,0.025,0.5400000214576721,0.0
B30,3,True,0.0,0.05,0.1120000034570694,0.0
B30,3,True,0.0,0.75,0.0,0.0
B30,3,True,0.0,0.1,0.0,0.0
B30,3,True,10.0,0.0,0.9880000352859497,0.0
B30,3,True,10.0,0.025,0.64000004529953,25.806451612903224
B30,3,True,10.0,0.05,0.1600000113248825,3.5000000000000004
B30,3,True,10.0,0.75,0.0,0.0
B30,3,True,10.0,0.1,0.0,0.4032258064516129
B30,3,True,100.0,0.0,0.7920000553131104,0.0
B30,3,True,100.0,0.025,0.3800000250339508,24.390243902439025
B30,3,True,100.0,0.05,0.164000004529953,16.51376146788991
B30,3,True,100.0,0.75,0.0,0.0
B30,3,True,100.0,0.1,0.036000002175569534,3.225806451612903
B30,3,True,1000.0,0.0,0.5840000510215759,0.0
B30,3,True,1000.0,0.025,0.5160000324249268,14.285714285714285
B30,3,True,1000.0,0.05,0.5879999995231628,8.333333333333332
B30,3,True,1000.0,0.75,0.4520000219345093,42.241379310344826
B30,3,True,1000.0,0.1,0.6160000562667847,14.285714285714285
