model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches,harm_rate
B30,2,False,0.0,0.0,0.9920000433921814,0.0,0.0
B30,2,False,0.0,0.025,0.527999997138977,0.0,0.0
B30,2,False,0.0,0.05,0.1120000034570694,0.0,0.0
B30,2,False,0.0,0.075,0.004000000189989805,0.0,0.0
B30,2,False,0.0,0.1,0.0,0.0,0.0
B30,2,False,0.0,0.125,0.0,0.0,0.0
B30,2,False,10.0,0.0,0.984000027179718,0.0,0.8
B30,2,False,10.0,0.025,0.7480000257492065,55.75221238938053,1.6
B30,2,False,10.0,0.05,0.3360000252723694,28.251121076233183,1.6
B30,2,False,10.0,0.075,0.07200000435113907,9.274193548387096,0.0
B30,2,False,10.0,0.1,0.012000000104308128,2.4,0.0
B30,2,False,10.0,0.125,0.0,0.4,0.0
B30,2,False,15.0,0.0,0.9760000705718994,0.0,2.4
B30,2,False,15.0,0.025,0.8040000200271606,62.60869565217392,1.2
B30,2,False,15.0,0.05,0.4280000329017639,42.53393665158371,1.6
B30,2,False,15.0,0.075,0.19200000166893005,23.387096774193548,0.0
B30,2,False,15.0,0.1,0.04800000041723251,7.199999999999999,0.0
B30,2,False,15.0,0.125,0.00800000037997961,2.0,0.0
B30,2,False,20.0,0.0,0.968000054359436,0.0,3.2
B30,2,False,20.0,0.025,0.8160000443458557,62.60869565217392,1.6
B30,2,False,20.0,0.05,0.5160000324249268,53.63636363636364,2.4
B30,2,False,20.0,0.075,0.24800001084804535,31.451612903225808,0.0
B30,2,False,20.0,0.1,0.12400000542402267,16.0,0.0
B30,2,False,20.0,0.125,0.06800000369548798,6.800000000000001,0.0
B30,2,False,25.0,0.0,0.956000030040741,0.0,4.3999999999999995
B30,2,False,25.0,0.025,0.8080000281333923,64.03508771929825,2.4
B30,2,False,25.0,0.05,0.5760000348091125,62.66666666666667,2.8000000000000003
B30,2,False,25.0,0.075,0.35600000619888306,40.08097165991903,0.4
B30,2,False,25.0,0.1,0.2160000056028366,26.0,0.0
B30,2,False,25.0,0.125,0.11600000411272049,17.2,0.0
B30,2,False,30.0,0.0,0.9480000734329224,0.0,6.0
B30,2,False,30.0,0.025,0.8160000443458557,65.78947368421053,4.0
B30,2,False,30.0,0.05,0.5920000076293945,64.12556053811659,2.0
B30,2,False,30.0,0.075,0.40800002217292786,47.983870967741936,0.0
B30,2,False,30.0,0.1,0.2720000147819519,31.2,0.0
B30,2,False,30.0,0.125,0.17600001394748688,24.8,0.0
B30,2,False,40.0,0.0,0.9120000600814819,0.0,9.2
B30,2,False,40.0,0.025,0.7880000472068787,64.60176991150442,5.2
B30,2,False,40.0,0.05,0.64000004529953,69.33333333333334,1.2
B30,2,False,40.0,0.075,0.5240000486373901,56.048387096774185,0.4
B30,2,False,40.0,0.1,0.3840000033378601,43.6,0.0
B30,2,False,40.0,0.125,0.2720000147819519,35.6,0.0
B30,2,False,50.0,0.0,0.8920000195503235,0.0,13.200000000000001
B30,2,False,50.0,0.025,0.800000011920929,67.2566371681416,6.0
B30,2,False,50.0,0.05,0.6640000343322754,70.98214285714286,2.0
B30,2,False,50.0,0.075,0.5520000457763672,62.096774193548384,0.0
B30,2,False,50.0,0.1,0.4520000219345093,52.800000000000004,0.0
B30,2,False,50.0,0.125,0.36000001430511475,42.4,0.0
B30,3,False,0.0,0.0,0.9920000433921814,0.0,0.0
B30,3,False,0.0,0.025,0.5400000214576721,0.0,0.0
B30,3,False,0.0,0.05,0.12400000542402267,0.0,0.0
B30,3,False,0.0,0.075,0.00800000037997961,0.0,0.0
B30,3,False,0.0,0.1,0.0,0.0,0.0
B30,3,False,0.0,0.125,0.0,0.0,0.0
B30,3,False,10.0,0.0,0.9880000352859497,0.0,0.4
B30,3,False,10.0,0.025,0.7680000066757202,51.37614678899083,2.8000000000000003
B30,3,False,10.0,0.05,0.36400002241134644,31.69642857142857,1.6
B30,3,False,10.0,0.075,0.08800000697374344,10.8,0.0
B30,3,False,10.0,0.1,0.024000000208616257,3.5999999999999996,0.0
B30,3,False,10.0,0.125,0.00800000037997961,1.6,0.0
B30,3,False,15.0,0.0,0.9760000705718994,0.0,1.6
B30,3,False,15.0,0.025,0.796000063419342,60.0,2.0
B30,3,False,15.0,0.05,0.5,50.43859649122807,2.0
