model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches,harm_rate
B30,2,False,0.0,0.0,0.9920000433921814,0.0,0.0
B30,2,False,0.0,0.025,0.5360000133514404,0.0,0.0
B30,2,False,0.0,0.05,0.1080000028014183,0.0,0.0
B30,2,False,0.0,0.075,0.004000000189989805,0.0,0.0
B30,2,False,0.0,0.1,0.0,0.0,0.0
B30,2,False,0.0,0.125,0.0,0.0,0.0
B30,2,False,10.0,0.0,0.9880000352859497,0.0,1.2
B30,2,False,10.0,0.025,0.7320000529289246,44.34782608695652,0.4
B30,2,False,10.0,0.05,0.2639999985694885,21.145374449339208,0.8
B30,2,False,10.0,0.075,0.03200000151991844,5.6000000000000005,0.0
B30,2,False,10.0,0.1,0.01600000075995922,1.6,0.0
B30,2,False,10.0,0.125,0.00800000037997961,0.4,0.0
B30,2,False,15.0,0.0,0.9800000190734863,0.0,2.0
B30,2,False,15.0,0.025,0.7720000147819519,58.119658119658126,1.2
B30,2,False,15.0,0.05,0.3880000114440918,36.283185840707965,1.2
B30,2,False,15.0,0.075,0.10000000149011612,14.17004048582996,0.4
B30,2,False,15.0,0.1,0.024000000208616257,2.8000000000000003,0.0
B30,2,False,15.0,0.125,0.004000000189989805,1.2,0.0
B30,2,False,20.0,0.0,0.9720000624656677,0.0,3.5999999999999996
B30,2,False,20.0,0.025,0.8080000281333923,59.45945945945946,1.2
B30,2,False,20.0,0.05,0.4520000219345093,46.57534246575342,2.0
B30,2,False,20.0,0.075,0.2120000123977661,23.694779116465863,0.0
B30,2,False,20.0,0.1,0.06400000303983688,8.0,0.0
B30,2,False,20.0,0.125,0.024000000208616257,2.4,0.0
B30,2,False,25.0,0.0,0.9440000653266907,0.0,5.2
B30,2,False,25.0,0.025,0.800000011920929,64.03508771929825,2.0
B30,2,False,25.0,0.05,0.5240000486373901,56.56108597285068,2.4
B30,2,False,25.0,0.075,0.2720000147819519,31.72690763052209,0.0
B30,2,False,25.0,0.1,0.13600000739097595,18.0,0.0
B30,2,False,25.0,0.125,0.06400000303983688,9.2,0.0
B30,2,False,30.0,0.0,0.9240000247955322,0.0,7.6
B30,2,False,30.0,0.025,0.796000063419342,64.03508771929825,2.0
B30,2,False,30.0,0.05,0.5680000185966492,59.82142857142857,1.2
B30,2,False,30.0,0.075,0.35600000619888306,37.5,0.0
B30,2,False,30.0,0.1,0.20000000298023224,25.6,0.0
B30,2,False,30.0,0.125,0.12800000607967377,17.599999999999998,0.0
B30,2,False,40.0,0.0,0.8680000305175781,0.0,12.0
B30,2,False,40.0,0.025,0.8040000200271606,67.54385964912281,4.8
B30,2,False,40.0,0.05,0.612000048160553,64.84018264840182,2.4
B30,2,False,40.0,0.075,0.45600003004074097,54.43548387096774,0.4
B30,2,False,40.0,0.1,0.3160000145435333,36.4,0.0
B30,2,False,40.0,0.125,0.2200000137090683,28.799999999999997,0.0
B30,2,False,50.0,0.0,0.8320000171661377,0.0,15.6
B30,2,False,50.0,0.025,0.796000063419342,64.34782608695652,4.8
B30,2,False,50.0,0.05,0.6440000534057617,68.91891891891892,2.8000000000000003
B30,2,False,50.0,0.075,0.5200000405311584,58.23293172690763,0.4
B30,2,False,50.0,0.1,0.42000001668930054,48.4,0.0
B30,2,False,50.0,0.125,0.29200002551078796,37.2,0.0
B30,3,False,0.0,0.0,0.9920000433921814,0.0,0.0
B30,3,False,0.0,0.025,0.5360000133514404,0.0,0.0
B30,3,False,0.0,0.05,0.1080000028014183,0.0,0.0
B30,3,False,0.0,0.075,0.004000000189989805,0.0,0.0
B30,3,False,0.0,0.1,0.0,0.0,0.0
B30,3,False,0.0,0.125,0.0,0.0,0.0
B30,3,False,10.0,0.0,0.9880000352859497,0.0,0.8
B30,3,False,10.0,0.025,0.7280000448226929,43.36283185840708,1.6
B30,3,False,10.0,0.05,0.31200000643730164,27.555555555555557,1.6
B30,3,False,10.0,0.075,0.08800000697374344,8.835341365461847,0.0
B30,3,False,10.0,0.1,0.012000000104308128,2.0,0.0
B30,3,False,10.0,0.125,0.004000000189989805,0.8,0.0
B30,3,False,15.0,0.0,0.984000027179718,0.0,1.2
B30,3,False,15.0,0.025,0.7560000419616699,55.26315789473685,1.2
B30,3,False,15.0,0.05,0.40800002217292786,36.72566371681416,0.8
B30,3,False,15.0,0.075,0.18400001525878906,19.6,0.0
B30,3,False,15.0,0.1,0.06400000303983688,8.835341365461847,0.0
B30,3,False,15.0,0.125,0.036000002175569534,4.0,0.0
B30,3,False,20.0,0.0,0.9800000190734863,0.0,1.6
B30,3,False,20.0,0.025,0.784000039100647,58.18181818181818,1.6
B30,3,False,20.0,0.05,0.5120000243186951,50.224215246636774,2.0
B30,3,False,20.0,0.075,0.2760000228881836,29.67479674796748,0.4
B30,3,False,20.0,0.1,0.13600000739097595,17.2,0.0
B30,3,False,20.0,0.125,0.08000000566244125,10.8,0.0
B30,3,False,25.0,0.0,0.9640000462532043,0.0,3.5999999999999996
B30,3,False,25.0,0.025,0.8040000200271606,62.93103448275862,1.6
B30,3,False,25.0,0.05,0.5400000214576721,56.888888888888886,1.6
B30,3,False,25.0,0.075,0.320000022649765,35.77235772357724,0.8
B30,3,False,25.0,0.1,0.20000000298023224,25.2,0.0
B30,3,False,25.0,0.125,0.1120000034570694,16.0,0.0
B30,3,False,30.0,0.0,0.9480000734329224,0.0,4.3999999999999995
B30,3,False,30.0,0.025,0.812000036239624,64.28571428571429,2.4
B30,3,False,30.0,0.05,0.6000000238418579,61.88340807174888,2.0
B30,3,False,30.0,0.075,0.41200003027915955,47.599999999999994,0.0
B30,3,False,30.0,0.1,0.2760000228881836,33.6,0.0
B30,3,False,30.0,0.125,0.19200000166893005,22.8,0.0
B30,3,False,40.0,0.0,0.9120000600814819,0.0,8.0
B30,3,False,40.0,0.025,0.7920000553131104,62.83185840707964,2.8000000000000003
B30,3,False,40.0,0.05,0.6600000262260437,68.01801801801803,3.2
B30,3,False,40.0,0.075,0.48000001907348633,53.81526104417671,0.4
B30,3,False,40.0,0.1,0.3960000276565552,48.0,0.0
B30,3,False,40.0,0.125,0.31200000643730164,37.2,0.0
B30,3,False,50.0,0.0,0.8760000467300415,0.0,11.200000000000001
B30,3,False,50.0,0.025,0.796000063419342,66.08695652173913,4.0
B30,3,False,50.0,0.05,0.6520000100135803,69.16299559471366,2.4
B30,3,False,50.0,0.075,0.5520000457763672,63.45381526104418,0.4
B30,3,False,50.0,0.1,0.4400000274181366,52.400000000000006,0.0
B30,3,False,50.0,0.125,0.40800002217292786,46.400000000000006,0.0
B30,2,False,0.0,0.0,0.9920000433921814,0.0,0.0
B30,2,False,0.0,0.025,0.5320000052452087,0.0,0.0
B30,2,False,0.0,0.05,0.1120000034570694,0.0,0.0
B30,2,False,0.0,0.075,0.0,0.0,0.0
B30,2,False,0.0,0.1,0.0,0.0,0.0
B30,2,False,0.0,0.125,0.0,0.0,0.0
B30,2,False,10.0,0.0,0.9880000352859497,0.0,1.2
B30,2,False,10.0,0.025,0.7400000095367432,46.49122807017544,1.2
B30,2,False,10.0,0.05,0.30000001192092896,24.663677130044842,0.4
B30,2,False,10.0,0.075,0.03200000151991844,3.614457831325301,0.0
B30,2,False,10.0,0.1,0.00800000037997961,0.8,0.0
B30,2,False,10.0,0.125,0.0,0.0,0.0
B30,2,False,15.0,0.0,0.9800000190734863,0.0,2.0
B30,2,False,15.0,0.025,0.7760000228881836,55.85585585585585,1.2
B30,2,False,15.0,0.05,0.3840000033378601,31.555555555555554,1.6
B30,2,False,15.0,0.075,0.14000000059604645,16.129032258064516,0.4
