model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches,harm_rate
B30,2,False,0.0,0.0,0.9920000433921814,0.0,0.0
B30,2,False,0.0,0.025,0.5360000133514404,0.0,0.0
B30,2,False,0.0,0.05,0.1080000028014183,0.0,0.0
B30,2,False,0.0,0.075,0.00800000037997961,0.0,0.0
B30,2,False,0.0,0.1,0.0,0.0,0.0
B30,2,False,0.0,0.125,0.0,0.0,0.0
B30,2,False,10.0,0.0,0.984000027179718,0.0,0.8
B30,2,False,10.0,0.025,0.6800000071525574,28.421052631578945,4.0
B30,2,False,10.0,0.05,0.1680000126361847,9.004739336492891,4.0
B30,2,False,10.0,0.075,0.02800000086426735,1.2345679012345678,0.8
B30,2,False,10.0,0.1,0.004000000189989805,0.4032258064516129,0.4
B30,2,False,10.0,0.125,0.0,0.4016064257028112,0.4
B30,2,False,15.0,0.0,0.9760000705718994,0.0,2.4
B30,2,False,15.0,0.025,0.6760000586509705,34.5679012345679,8.0
B30,2,False,15.0,0.05,0.23600001633167267,17.801047120418847,10.0
B30,2,False,15.0,0.075,0.04800000041723251,4.201680672268908,3.5999999999999996
B30,2,False,15.0,0.1,0.0,0.4132231404958678,2.8000000000000003
B30,2,False,15.0,0.125,0.0,0.4032258064516129,0.8
B30,2,False,20.0,0.0,0.968000054359436,0.0,3.2
B30,2,False,20.0,0.025,0.6360000371932983,39.473684210526315,16.0
B30,2,False,20.0,0.05,0.25200000405311584,21.468926553672315,12.0
B30,2,False,20.0,0.075,0.0560000017285347,7.203389830508475,4.8
B30,2,False,20.0,0.1,0.00800000037997961,0.819672131147541,2.0
B30,2,False,20.0,0.125,0.004000000189989805,0.0,1.2
B30,2,False,25.0,0.0,0.956000030040741,0.0,4.3999999999999995
B30,2,False,25.0,0.025,0.6080000400543213,38.35616438356164,16.8
B30,2,False,25.0,0.05,0.2800000011920929,20.958083832335326,14.000000000000002
B30,2,False,25.0,0.075,0.07600000500679016,6.726457399103139,6.4
B30,2,False,25.0,0.1,0.024000000208616257,2.4691358024691357,2.4
B30,2,False,25.0,0.125,0.00800000037997961,0.40816326530612246,2.0
B30,2,False,30.0,0.0,0.9480000734329224,0.0,6.0
B30,2,False,30.0,0.025,0.5680000185966492,34.32835820895522,20.0
B30,2,False,30.0,0.05,0.29200002551078796,21.25,15.2
B30,2,False,30.0,0.075,0.0560000017285347,9.482758620689655,4.3999999999999995
B30,2,False,30.0,0.1,0.04000000283122063,4.958677685950414,2.8000000000000003
B30,2,False,30.0,0.125,0.012000000104308128,1.2244897959183674,2.0
B30,2,False,40.0,0.0,0.9120000600814819,0.0,9.2
B30,2,False,40.0,0.025,0.5480000376701355,32.20338983050847,23.599999999999998
B30,2,False,40.0,0.05,0.30000001192092896,28.859060402684566,20.8
B30,2,False,40.0,0.075,0.08000000566244125,12.560386473429952,12.0
B30,2,False,40.0,0.1,0.03200000151991844,3.75,2.8000000000000003
B30,2,False,40.0,0.125,0.020000001415610313,1.6260162601626018,1.2
B30,2,False,50.0,0.0,0.8920000195503235,0.0,13.200000000000001
B30,2,False,50.0,0.025,0.5120000243186951,30.612244897959183,30.4
B30,2,False,50.0,0.05,0.2840000092983246,24.264705882352942,21.2
B30,2,False,50.0,0.075,0.10000000149011612,8.955223880597014,13.200000000000001
B30,2,False,50.0,0.1,0.03200000151991844,4.761904761904762,7.6
B30,2,False,50.0,0.125,0.020000001415610313,2.4489795918367347,2.0
B30,3,False,0.0,0.0,0.9920000433921814,0.0,0.0
B30,3,False,0.0,0.025,0.5200000405311584,0.0,0.0
B30,3,False,0.0,0.05,0.11600000411272049,0.0,0.0
B30,3,False,0.0,0.075,0.00800000037997961,0.0,0.0
B30,3,False,0.0,0.1,0.0,0.0,0.0
B30,3,False,0.0,0.125,0.0,0.0,0.0
B30,3,False,10.0,0.0,0.9880000352859497,0.0,0.4
B30,3,False,10.0,0.025,0.6720000505447388,28.57142857142857,5.6000000000000005
B30,3,False,10.0,0.05,0.1680000126361847,9.950248756218906,6.4
B30,3,False,10.0,0.075,0.024000000208616257,1.2345679012345678,1.2
B30,3,False,10.0,0.1,0.0,0.4016064257028112,0.4
B30,3,False,10.0,0.125,0.0,0.0,0.4
B30,3,False,15.0,0.0,0.9760000705718994,0.0,1.6
B30,3,False,15.0,0.025,0.6800000071525574,34.44444444444444,6.4
B30,3,False,15.0,0.05,0.2160000056028366,12.56544502617801,8.799999999999999
B30,3,False,15.0,0.075,0.06000000238418579,3.829787234042553,4.8
B30,3,False,15.0,0.1,0.004000000189989805,0.4098360655737705,2.4
B30,3,False,15.0,0.125,0.0,0.4016064257028112,0.4
B30,3,False,20.0,0.0,0.9720000624656677,0.0,2.0
B30,3,False,20.0,0.025,0.6160000562667847,34.177215189873415,12.4
B30,3,False,20.0,0.05,0.24800001084804535,18.0327868852459,10.8
B30,3,False,20.0,0.075,0.04400000348687172,4.310344827586207,4.8
B30,3,False,20.0,0.1,0.020000001415610313,1.2448132780082988,2.4
B30,3,False,20.0,0.125,0.0,0.40650406504065045,1.6
B30,3,False,25.0,0.0,0.9600000381469727,0.0,4.0
B30,3,False,25.0,0.025,0.5720000267028809,35.294117647058826,19.2
B30,3,False,25.0,0.05,0.24800001084804535,17.365269461077844,15.6
B30,3,False,25.0,0.075,0.0560000017285347,10.480349344978166,6.4
B30,3,False,25.0,0.1,0.024000000208616257,2.092050209205021,3.5999999999999996
B30,3,False,25.0,0.125,0.012000000104308128,0.40650406504065045,1.2
B30,3,False,30.0,0.0,0.9480000734329224,0.0,5.2
B30,3,False,30.0,0.025,0.5640000104904175,34.84848484848485,20.0
B30,3,False,30.0,0.05,0.2680000066757202,22.289156626506024,16.0
B30,3,False,30.0,0.075,0.0560000017285347,9.777777777777779,6.800000000000001
B30,3,False,30.0,0.1,0.036000002175569534,2.066115702479339,2.0
B30,3,False,30.0,0.125,0.00800000037997961,0.8130081300813009,1.2
B30,3,False,40.0,0.0,0.9280000329017639,0.0,6.4
B30,3,False,40.0,0.025,0.5360000133514404,36.36363636363637,26.0
B30,3,False,40.0,0.05,0.2680000066757202,24.0,19.2
B30,3,False,40.0,0.075,0.06800000369548798,11.267605633802818,10.8
B30,3,False,40.0,0.1,0.03200000151991844,3.765690376569038,3.5999999999999996
B30,3,False,40.0,0.125,0.020000001415610313,1.2244897959183674,1.6
B30,3,False,50.0,0.0,0.9080000519752502,0.0,9.6
B30,3,False,50.0,0.025,0.4960000216960907,35.41666666666667,30.4
B30,3,False,50.0,0.05,0.2680000066757202,26.277372262773724,22.400000000000002
B30,3,False,50.0,0.075,0.10400000214576721,9.70873786407767,10.8
B30,3,False,50.0,0.1,0.036000002175569534,4.219409282700422,4.8
B30,3,False,50.0,0.125,0.012000000104308128,1.6194331983805668,1.2
B30,2,False,0.0,0.0,0.9920000433921814,0.0,0.0
B30,2,False,0.0,0.025,0.5560000538825989,0.0,0.0
B30,2,False,0.0,0.05,0.12000000476837158,0.0,0.0
B30,2,False,0.0,0.075,0.012000000104308128,0.0,0.0
B30,2,False,0.0,0.1,0.0,0.0,0.0
B30,2,False,0.0,0.125,0.0,0.0,0.0
B30,2,False,10.0,0.0,0.984000027179718,0.0,0.8
B30,2,False,10.0,0.025,0.6960000395774841,34.73684210526316,4.0
B30,2,False,10.0,0.05,0.19200000166893005,9.313725490196079,5.6000000000000005
B30,2,False,10.0,0.075,0.02800000086426735,0.4166666666666667,2.0
B30,2,False,10.0,0.1,0.0,0.0,0.0
B30,2,False,10.0,0.125,0.0,0.0,0.8
