model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches,harm_rate
B30,2,False,0.0,0.0,0.9920000433921814,0.0,0.0
B30,2,False,0.0,0.025,0.5360000133514404,0.0,0.0
B30,2,False,0.0,0.05,0.1120000034570694,0.0,0.0
B30,2,False,0.0,0.075,0.00800000037997961,0.0,0.0
B30,2,False,0.0,0.1,0.0,0.0,0.0
B30,2,False,0.0,0.125,0.0,0.0,0.0
B30,2,False,10.0,0.0,0.9880000352859497,0.0,1.2
B30,2,False,10.0,0.025,0.6160000562667847,24.489795918367346,5.2
B30,2,False,10.0,0.05,0.14000000059604645,4.411764705882353,6.4
B30,2,False,10.0,0.075,0.020000001415610313,0.4098360655737705,2.0
B30,2,False,10.0,0.1,0.004000000189989805,0.0,0.8
B30,2,False,10.0,0.125,0.0,0.0,0.0
B30,2,False,15.0,0.0,0.9800000190734863,0.0,2.0
B30,2,False,15.0,0.025,0.6080000400543213,23.076923076923077,11.200000000000001
B30,2,False,15.0,0.05,0.1680000126361847,5.524861878453039,12.8
B30,2,False,15.0,0.075,0.00800000037997961,0.8403361344537815,4.3999999999999995
B30,2,False,15.0,0.1,0.0,0.40816326530612246,1.6
B30,2,False,15.0,0.125,0.0,0.0,0.8
B30,2,False,20.0,0.0,0.9720000624656677,0.0,3.5999999999999996
B30,2,False,20.0,0.025,0.5600000023841858,23.684210526315788,19.2
B30,2,False,20.0,0.05,0.164000004529953,6.857142857142858,16.8
B30,2,False,20.0,0.075,0.024000000208616257,2.5210084033613445,3.5999999999999996
B30,2,False,20.0,0.1,0.00800000037997961,0.41841004184100417,4.0
B30,2,False,20.0,0.125,0.0,0.0,1.2
B30,2,False,25.0,0.0,0.9440000653266907,0.0,5.2
B30,2,False,25.0,0.025,0.5120000243186951,22.950819672131146,25.6
B30,2,False,25.0,0.05,0.14800000190734863,7.142857142857142,22.400000000000002
B30,2,False,25.0,0.075,0.036000002175569534,2.7027027027027026,9.6
B30,2,False,25.0,0.1,0.00800000037997961,0.4149377593360996,3.2
B30,2,False,25.0,0.125,0.0,0.0,1.6
B30,2,False,30.0,0.0,0.9240000247955322,0.0,7.6
B30,2,False,30.0,0.025,0.484000027179718,25.925925925925924,31.2
B30,2,False,30.0,0.05,0.164000004529953,10.0,23.599999999999998
B30,2,False,30.0,0.075,0.02800000086426735,3.619909502262444,10.8
B30,2,False,30.0,0.1,0.012000000104308128,1.2605042016806722,4.8
B30,2,False,30.0,0.125,0.0,0.0,2.8000000000000003
B30,2,False,40.0,0.0,0.8680000305175781,0.0,12.0
B30,2,False,40.0,0.025,0.4480000138282776,26.53061224489796,37.2
B30,2,False,40.0,0.05,0.14000000059604645,12.408759124087592,28.000000000000004
B30,2,False,40.0,0.075,0.03200000151991844,3.864734299516908,16.0
B30,2,False,40.0,0.1,0.01600000075995922,1.680672268907563,4.8
B30,2,False,40.0,0.125,0.012000000104308128,0.823045267489712,2.4
B30,2,False,50.0,0.0,0.8320000171661377,0.0,15.6
B30,2,False,50.0,0.025,0.4280000329017639,25.0,42.4
B30,2,False,50.0,0.05,0.12800000607967377,12.878787878787879,31.6
B30,2,False,50.0,0.075,0.036000002175569534,4.040404040404041,18.8
B30,2,False,50.0,0.1,0.012000000104308128,1.694915254237288,5.6000000000000005
B30,2,False,50.0,0.125,0.00800000037997961,0.41841004184100417,4.3999999999999995
B30,3,False,0.0,0.0,0.9920000433921814,0.0,0.0
B30,3,False,0.0,0.025,0.5560000538825989,0.0,0.0
B30,3,False,0.0,0.05,0.11600000411272049,0.0,0.0
B30,3,False,0.0,0.075,0.00800000037997961,0.0,0.0
B30,3,False,0.0,0.1,0.0,0.0,0.0
B30,3,False,0.0,0.125,0.0,0.0,0.0
B30,3,False,10.0,0.0,0.9880000352859497,0.0,0.8
B30,3,False,10.0,0.025,0.6040000319480896,16.3265306122449,6.0
B30,3,False,10.0,0.05,0.14000000059604645,3.4653465346534658,7.199999999999999
B30,3,False,10.0,0.075,0.004000000189989805,0.4098360655737705,2.0
B30,3,False,10.0,0.1,0.0,0.0,2.0
B30,3,False,10.0,0.125,0.0,0.0,0.4
B30,3,False,15.0,0.0,0.984000027179718,0.0,1.2
B30,3,False,15.0,0.025,0.612000048160553,23.91304347826087,10.8
B30,3,False,15.0,0.05,0.15600000321865082,6.557377049180328,14.399999999999999
B30,3,False,15.0,0.075,0.024000000208616257,1.293103448275862,5.6000000000000005
B30,3,False,15.0,0.1,0.0,0.0,3.5999999999999996
B30,3,False,15.0,0.125,0.0,0.0,0.8
B30,3,False,20.0,0.0,0.9800000190734863,0.0,1.6
B30,3,False,20.0,0.025,0.5640000104904175,17.80821917808219,16.8
B30,3,False,20.0,0.05,0.18400001525878906,7.142857142857142,18.0
B30,3,False,20.0,0.075,0.020000001415610313,2.1834061135371177,7.199999999999999
B30,3,False,20.0,0.1,0.004000000189989805,0.0,4.3999999999999995
B30,3,False,20.0,0.125,0.0,0.0,1.2
B30,3,False,25.0,0.0,0.9640000462532043,0.0,3.5999999999999996
B30,3,False,25.0,0.025,0.527999997138977,22.950819672131146,25.2
B30,3,False,25.0,0.05,0.1600000113248825,8.484848484848486,20.0
B30,3,False,25.0,0.075,0.03200000151991844,2.7149321266968327,9.2
B30,3,False,25.0,0.1,0.00800000037997961,0.4098360655737705,2.0
B30,3,False,25.0,0.125,0.0,0.0,2.4
B30,3,False,30.0,0.0,0.9480000734329224,0.0,4.3999999999999995
B30,3,False,30.0,0.025,0.4880000352859497,27.27272727272727,27.6
B30,3,False,30.0,0.05,0.14400000870227814,7.006369426751593,22.400000000000002
B30,3,False,30.0,0.075,0.036000002175569534,3.1963470319634704,11.200000000000001
B30,3,False,30.0,0.1,0.00800000037997961,0.4132231404958678,3.2
B30,3,False,30.0,0.125,0.004000000189989805,0.4048582995951417,1.2
B30,3,False,40.0,0.0,0.9120000600814819,0.0,8.0
B30,3,False,40.0,0.025,0.45600003004074097,25.454545454545453,34.8
B30,3,False,40.0,0.05,0.13199999928474426,10.638297872340425,29.2
B30,3,False,40.0,0.075,0.04000000283122063,4.739336492890995,14.399999999999999
B30,3,False,40.0,0.1,0.012000000104308128,1.2605042016806722,4.8
B30,3,False,40.0,0.125,0.0,0.0,4.0
B30,3,False,50.0,0.0,0.8760000467300415,0.0,11.200000000000001
B30,3,False,50.0,0.025,0.42000001668930054,24.0,38.800000000000004
B30,3,False,50.0,0.05,0.12000000476837158,12.686567164179104,29.599999999999998
B30,3,False,50.0,0.075,0.03200000151991844,3.9408866995073892,17.2
B30,3,False,50.0,0.1,0.02800000086426735,2.232142857142857,10.4
B30,3,False,50.0,0.125,0.004000000189989805,0.40816326530612246,2.0
B30,2,False,0.0,0.0,0.9920000433921814,0.0,0.0
B30,2,False,0.0,0.025,0.5240000486373901,0.0,0.0
B30,2,False,0.0,0.05,0.1080000028014183,0.0,0.0
B30,2,False,0.0,0.075,0.012000000104308128,0.0,0.0
B30,2,False,0.0,0.1,0.0,0.0,0.0
B30,2,False,0.0,0.125,0.0,0.0,0.0
B30,2,False,10.0,0.0,0.9880000352859497,0.0,1.2
B30,2,False,10.0,0.025,0.6520000100135803,19.791666666666664,6.0
B30,2,False,10.0,0.05,0.164000004529953,5.9405940594059405,7.6
B30,2,False,10.0,0.075,0.024000000208616257,0.4166666666666667,2.4
B30,2,False,10.0,0.1,0.0,0.0,1.2
B30,2,False,10.0,0.125,0.0,0.0,0.4
B30,2,False,15.0,0.0,0.9800000190734863,0.0,2.0
B30,2,False,15.0,0.025,0.6360000371932983,28.26086956521739,12.0
