model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches,harm_rate
B30,1,False,0.0,0.0,0.9920000433921814,0.0,0.0
B30,1,False,0.0,0.025,0.5480000376701355,0.0,0.0
B30,1,False,0.0,0.05,0.10400000214576721,0.0,0.0
B30,1,False,0.0,0.075,0.0,0.0,0.0
B30,1,False,0.0,0.1,0.0,0.0,0.0
B30,1,False,0.0,0.125,0.0,0.0,0.0
B30,1,False,0.0,0.15,0.0,0.0,0.0
B30,1,False,0.0,0.175,0.0,0.0,0.0
B30,1,False,0.0,0.2,0.0,0.0,0.0
B30,1,False,10.0,0.0,0.984000027179718,0.0,1.6
B30,1,False,10.0,0.025,0.7080000042915344,39.63963963963964,1.2
B30,1,False,10.0,0.05,0.2240000069141388,14.09090909090909,1.6
B30,1,False,10.0,0.075,0.012000000104308128,0.8032128514056224,0.0
B30,1,False,10.0,0.1,0.0,0.0,0.0
B30,1,False,10.0,0.125,0.0,0.0,0.0
B30,1,False,10.0,0.15,0.0,0.0,0.0
B30,1,False,10.0,0.175,0.0,0.4,0.0
B30,1,False,10.0,0.2,0.0,0.0,0.0
B30,1,False,15.0,0.0,0.9800000190734863,0.0,2.0
B30,1,False,15.0,0.025,0.7640000581741333,54.310344827586206,1.6
B30,1,False,15.0,0.05,0.24800001084804535,22.321428571428573,1.6
B30,1,False,15.0,0.075,0.02800000086426735,4.0,0.0
B30,1,False,15.0,0.1,0.004000000189989805,0.0,0.0
B30,1,False,15.0,0.125,0.0,0.0,0.0
B30,1,False,15.0,0.15,0.004000000189989805,0.4,0.0
B30,1,False,15.0,0.175,0.0,0.0,0.0
B30,1,False,15.0,0.2,0.0,0.0,0.0
B30,1,False,20.0,0.0,0.9720000624656677,0.0,3.5999999999999996
B30,1,False,20.0,0.025,0.784000039100647,60.17699115044248,1.2
B30,1,False,20.0,0.05,0.35200002789497375,32.126696832579185,2.0
B30,1,False,20.0,0.075,0.10000000149011612,10.0,0.0
B30,1,False,20.0,0.1,0.00800000037997961,0.8,0.0
B30,1,False,20.0,0.125,0.0,0.4,0.0
B30,1,False,20.0,0.15,0.0,0.4,0.0
B30,1,False,20.0,0.175,0.0,0.4,0.0
B30,1,False,20.0,0.2,0.0,0.0,0.0
B30,1,False,25.0,0.0,0.9520000219345093,0.0,4.8
B30,1,False,25.0,0.025,0.796000063419342,60.17699115044248,1.6
B30,1,False,25.0,0.05,0.41600000858306885,39.44954128440367,2.0
B30,1,False,25.0,0.075,0.12000000476837158,14.056224899598394,0.0
B30,1,False,25.0,0.1,0.012000000104308128,2.8000000000000003,0.0
B30,1,False,25.0,0.125,0.00800000037997961,1.2,0.0
B30,1,False,25.0,0.15,0.0,0.4,0.0
B30,1,False,25.0,0.175,0.004000000189989805,0.8,0.0
B30,1,False,25.0,0.2,0.0,0.0,0.0
B30,1,False,30.0,0.0,0.9320000410079956,0.0,7.6
B30,1,False,30.0,0.025,0.8040000200271606,65.76576576576578,2.0
B30,1,False,30.0,0.05,0.4440000355243683,47.03196347031963,2.4
B30,1,False,30.0,0.075,0.18000000715255737,21.86234817813765,0.0
B30,1,False,30.0,0.1,0.04400000348687172,4.3999999999999995,0.0
B30,1,False,30.0,0.125,0.020000001415610313,2.8000000000000003,0.0
B30,1,False,30.0,0.15,0.012000000104308128,1.6,0.0
B30,1,False,30.0,0.175,0.00800000037997961,0.8,0.0
B30,1,False,30.0,0.2,0.0,0.0,0.0
B30,1,False,35.0,0.0,0.9040000438690186,0.0,9.6
B30,1,False,35.0,0.025,0.800000011920929,63.06306306306306,2.8000000000000003
B30,1,False,35.0,0.05,0.5120000243186951,53.09734513274337,1.6
B30,1,False,35.0,0.075,0.2120000123977661,27.419354838709676,0.4
B30,1,False,35.0,0.1,0.08400000631809235,11.200000000000001,0.0
B30,1,False,35.0,0.125,0.024000000208616257,4.3999999999999995,0.0
B30,1,False,35.0,0.15,0.01600000075995922,1.2,0.0
B30,1,False,35.0,0.175,0.02800000086426735,3.2,0.0
B30,1,False,35.0,0.2,0.012000000104308128,0.8,0.0
B30,1,False,40.0,0.0,0.8600000143051147,0.0,12.8
B30,1,False,40.0,0.025,0.812000036239624,63.716814159292035,3.5999999999999996
B30,1,False,40.0,0.05,0.5080000162124634,58.55855855855856,2.4
B30,1,False,40.0,0.075,0.2639999985694885,30.522088353413658,0.0
B30,1,False,40.0,0.1,0.11600000411272049,15.2,0.0
B30,1,False,40.0,0.125,0.0560000017285347,6.800000000000001,0.0
B30,1,False,40.0,0.15,0.02800000086426735,3.5999999999999996,0.0
B30,1,False,40.0,0.175,0.04000000283122063,3.2,0.0
B30,1,False,40.0,0.2,0.012000000104308128,1.2,0.0
B30,1,False,45.0,0.0,0.8400000333786011,0.0,14.399999999999999
B30,1,False,45.0,0.025,0.7880000472068787,66.08695652173913,4.8
B30,1,False,45.0,0.05,0.5480000376701355,60.26785714285714,2.4
B30,1,False,45.0,0.075,0.3400000035762787,42.168674698795186,0.0
B30,1,False,45.0,0.1,0.1600000113248825,22.0,0.0
B30,1,False,45.0,0.125,0.06800000369548798,10.4,0.0
B30,1,False,45.0,0.15,0.04000000283122063,6.4,0.0
B30,1,False,45.0,0.175,0.03200000151991844,2.8000000000000003,0.0
B30,1,False,45.0,0.2,0.020000001415610313,1.2,0.0
B30,1,False,50.0,0.0,0.8280000686645508,0.0,16.400000000000002
B30,1,False,50.0,0.025,0.796000063419342,64.60176991150442,4.3999999999999995
B30,1,False,50.0,0.05,0.6000000238418579,63.55555555555556,2.0
B30,1,False,50.0,0.075,0.34800001978874207,39.516129032258064,0.4
B30,1,False,50.0,0.1,0.18400001525878906,24.8,0.0
B30,1,False,50.0,0.125,0.07200000435113907,12.4,0.0
B30,1,False,50.0,0.15,0.06000000238418579,6.800000000000001,0.0
B30,1,False,50.0,0.175,0.052000001072883606,6.800000000000001,0.0
B30,1,False,50.0,0.2,0.02800000086426735,4.0,0.0
B30,1,False,55.0,0.0,0.8160000443458557,0.0,18.0
B30,1,False,55.0,0.025,0.7920000553131104,65.8119658119658,4.0
B30,1,False,55.0,0.05,0.6040000319480896,64.0909090909091,2.4
B30,1,False,55.0,0.075,0.3960000276565552,45.16129032258064,0.4
B30,1,False,55.0,0.1,0.2160000056028366,28.000000000000004,0.0
B30,1,False,55.0,0.125,0.13600000739097595,19.2,0.0
B30,1,False,55.0,0.15,0.08000000566244125,11.600000000000001,0.0
B30,1,False,55.0,0.175,0.06400000303983688,7.6,0.0
