model_key,variant_name,mode,beta,epsilon,accuracy,mean_ce_loss,num_samples,mean_m_pred,frac_m_pred_positive,mean_m_proto,frac_m_proto_positive,mean_R_enc,mean_R_dec,mean_m_proto_used,frac_m_proto_used_positive,mean_m_proto_mu,frac_m_proto_mu_positive,mean_sigma_mean_all,mean_sigma_median_all,mean_sigma_min_correct_mu,mean_sigma_min_wrong_mu,mean_mu_mae_clamped_sample,mean_target_saturation_rate_sample,apmsr,apmsr_false_match_count,apmsr_suppressed_count,false_match_rate_mu,suppressed_rate_all,risk_harm_count,risk_harm_rate_all,risk_harm_rate_on_mu_correct
B30-FT-E-M,B30-FT-E-M__dfl_mean,mean,0.0,0.0,0.9838,0.053027380257844925,10000,0.1963053196668625,0.9838,0.5279922485351562,0.9832,0.0,0.0,0.778609573841095,0.9831,0.778609573841095,0.9831,0.20094574987888336,0.19164331257343292,0.16512994468212128,0.17266970872879028,0.015378872863948345,6.666667104582302e-06,0.0,169,0,0.0169,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_mean,mean,0.0,0.02500000037252903,0.9809,0.06536175310611725,10000,0.1908036172389984,0.9809,0.5123968124389648,0.9807,0.016311436891555786,0.19794932007789612,0.7611364126205444,0.9805,0.7611364126205444,0.9805,0.19889289140701294,0.1902913749217987,0.16560913622379303,0.17296111583709717,0.015050042420625687,3.333333552291151e-06,0.0,195,0,0.0195,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_mean,mean,0.0,0.05000000074505806,0.9753,0.07890129089355469,10000,0.18538178503513336,0.9753,0.4968702495098114,0.975,0.031442735344171524,0.3701111376285553,0.743360161781311,0.9749,0.743360161781311,0.9749,0.1970835030078888,0.18914373219013214,0.1660705804824829,0.17268267273902893,0.014787532389163971,0.0,0.0,251,0,0.0251,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_mean,mean,0.0,0.07500000298023224,0.9705,0.09369777888059616,10000,0.18005114793777466,0.9705,0.48164990544319153,0.9705,0.045649316161870956,0.5262501239776611,0.7254632711410522,0.9707,0.7254632711410522,0.9707,0.1954977959394455,0.18805557489395142,0.1664496660232544,0.17297811806201935,0.014593414030969143,0.0,0.0,293,0,0.0293,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_mean,mean,0.0,0.10000000149011612,0.9652,0.10986953228712082,10000,0.17462216317653656,0.9652,0.46613433957099915,0.9653,0.05934940278530121,0.6707943081855774,0.7068538069725037,0.9649,0.7068538069725037,0.9649,0.19404204189777374,0.18719986081123352,0.1666252166032791,0.17317304015159607,0.014444694854319096,0.0,0.0,351,0,0.0351,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_mean,mean,0.0,0.125,0.9601,0.12767601013183594,10000,0.16915521025657654,0.9601,0.4506632685661316,0.9598,0.07251452654600143,0.8028785586357117,0.6879220604896545,0.9599,0.6879220604896545,0.9599,0.19273149967193604,0.18633513152599335,0.1668994426727295,0.17377176880836487,0.014353197999298573,0.0,0.0,401,0,0.0401,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_mean,mean,0.0,0.15000000596046448,0.9539,0.1481996774673462,10000,0.1638726145029068,0.9539,0.4357527196407318,0.9539,0.08504800498485565,0.9268843531608582,0.6691744923591614,0.9543,0.6691744923591614,0.9543,0.19136780500411987,0.185476616024971,0.16719429194927216,0.17353555560112,0.01426650583744049,0.0,0.0,457,0,0.0457,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_mean,mean,0.0,0.17499999701976776,0.9475,0.16881240904331207,10000,0.15837624669075012,0.9475,0.4201788604259491,0.9468,0.09731532633304596,1.043258547782898,0.6495435833930969,0.9467,0.6495435833930969,0.9467,0.19034238159656525,0.18490028381347656,0.1672258973121643,0.17410166561603546,0.01423073559999466,0.0,0.0,533,0,0.0533,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_mean,mean,0.0,0.20000000298023224,0.9403,0.19120800495147705,10000,0.15327349305152893,0.9403,0.4059513807296753,0.9404,0.10896943509578705,1.1515733003616333,0.6312288641929626,0.9405,0.6312288641929626,0.9405,0.18929040431976318,0.18435989320278168,0.16740304231643677,0.17407181859016418,0.014149541035294533,0.0,0.0,595,0,0.0595,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_mean,mean,0.0,0.22499999403953552,0.9336,0.2125997543334961,10000,0.14799994230270386,0.9336,0.3912181556224823,0.9316,0.12007932364940643,1.2501015663146973,0.6118268966674805,0.9318,0.6118268966674805,0.9318,0.18837609887123108,0.18368762731552124,0.16771522164344788,0.17431554198265076,0.014151142910122871,0.0,0.0,682,0,0.0682,0.0,0,0.0,0.0
