model_key,variant_name,mode,beta,epsilon,accuracy,mean_ce_loss,num_samples,mean_m_pred,frac_m_pred_positive,mean_m_proto,frac_m_proto_positive,mean_R_enc,mean_R_dec,mean_m_proto_used,frac_m_proto_used_positive,mean_m_proto_mu,frac_m_proto_mu_positive,mean_sigma_mean_all,mean_sigma_median_all,mean_sigma_min_correct_mu,mean_sigma_min_wrong_mu,mean_mu_mae_clamped_sample,mean_target_saturation_rate_sample,apmsr,apmsr_false_match_count,apmsr_suppressed_count,false_match_rate_mu,suppressed_rate_all,risk_harm_count,risk_harm_rate_all,risk_harm_rate_on_mu_correct
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.0,0.9838,0.05302147939801216,10000,0.19437135756015778,0.9838,0.5279922485351562,0.9832,0.0,0.0,0.7559305429458618,0.9831,0.77940833568573,0.9831,0.2046600729227066,0.1945536583662033,0.16579434275627136,0.1744822859764099,0.015672359615564346,6.666667104582302e-06,0.0,169,0,0.0169,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.02500000037252903,0.981,0.06532429158687592,10000,0.18893471360206604,0.981,0.5124070644378662,0.9806,0.01632142998278141,0.19796034693717957,0.7386381030082703,0.9805,0.7620507478713989,0.9805,0.2024749517440796,0.1930720955133438,0.16634631156921387,0.17474465072155,0.015301840379834175,3.333333552291151e-06,0.0,195,0,0.0195,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.05000000074505806,0.9752,0.07889147847890854,10000,0.18356919288635254,0.9752,0.49691811203956604,0.9749,0.03144506365060806,0.3700394630432129,0.7210978865623474,0.9748,0.7443869113922119,0.9748,0.20056061446666718,0.1918039619922638,0.16686637699604034,0.17445087432861328,0.015002130530774593,0.0,0.0,252,0,0.0252,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.07500000298023224,0.9706,0.09374305605888367,10000,0.17828884720802307,0.9706,0.48170775175094604,0.9705,0.04564988240599632,0.5261820554733276,0.7034806609153748,0.9707,0.7265809774398804,0.9707,0.19888608157634735,0.19061066210269928,0.16729354858398438,0.17470668256282806,0.014782343991100788,0.0,0.0,293,0,0.0293,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.10000000149011612,0.9649,0.10990192741155624,10000,0.17294251918792725,0.9649,0.4662448763847351,0.9652,0.059351276606321335,0.6706559658050537,0.6852627396583557,0.9651,0.7080935835838318,0.9651,0.1973377913236618,0.18966911733150482,0.16754063963890076,0.1748410165309906,0.014612071216106415,0.0,0.0,349,0,0.0349,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.125,0.9597,0.12782050669193268,10000,0.167526513338089,0.9597,0.4507555067539215,0.9597,0.07251046597957611,0.8030378222465515,0.6666672229766846,0.9598,0.6891881823539734,0.9598,0.1959446519613266,0.18864813446998596,0.16784873604774475,0.17547249794006348,0.014500392600893974,0.0,0.0,402,0,0.0402,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.15000000596046448,0.954,0.14858216047286987,10000,0.16228345036506653,0.954,0.4357887804508209,0.9539,0.0850888043642044,0.927582323551178,0.6482527256011963,0.9541,0.6704771518707275,0.9542,0.19453518092632294,0.1877899467945099,0.16814061999320984,0.1752340942621231,0.014379668980836868,0.0,0.0,458,0,0.0458,0.0,1,0.0001,0.00010479983232026829
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.17499999701976776,0.9477,0.16886694729328156,10000,0.15689542889595032,0.9477,0.4202467203140259,0.9467,0.09728144109249115,1.0433660745620728,0.6291725635528564,0.9464,0.6509884595870972,0.9464,0.19344130158424377,0.1871812790632248,0.16827915608882904,0.17573769390583038,0.014339306391775608,0.0,0.0,536,0,0.0536,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.20000000298023224,0.9405,0.19140782952308655,10000,0.15190322697162628,0.9405,0.4061894416809082,0.9404,0.10890209674835205,1.151563048362732,0.6114263534545898,0.9403,0.6328739523887634,0.9403,0.19230850040912628,0.18657943606376648,0.16842009127140045,0.1757933497428894,0.014237556606531143,0.0,0.0,597,0,0.0597,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.22499999403953552,0.933,0.21311388909816742,10000,0.14662764966487885,0.933,0.39130234718322754,0.9316,0.12012717127799988,1.2511781454086304,0.5922490954399109,0.9317,0.613273561000824,0.9317,0.19131816923618317,0.1858924776315689,0.16876786947250366,0.17595134675502777,0.014194461517035961,0.0,0.0014641288433382138,683,1,0.0683,0.0001,1,0.0001,0.00010733068584308254
