model_key,variant_name,mode,beta,epsilon,accuracy,mean_ce_loss,num_samples,mean_m_pred,frac_m_pred_positive,mean_m_proto,frac_m_proto_positive,mean_R_enc,mean_R_dec,mean_m_proto_used,frac_m_proto_used_positive,mean_m_proto_mu,frac_m_proto_mu_positive,mean_sigma_mean_all,mean_sigma_median_all,mean_sigma_min_correct_mu,mean_sigma_min_wrong_mu,mean_mu_mae_clamped_sample,mean_target_saturation_rate_sample,apmsr,apmsr_false_match_count,apmsr_suppressed_count,false_match_rate_mu,suppressed_rate_all,risk_harm_count,risk_harm_rate_all,risk_harm_rate_on_mu_correct
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.0,0.9839,0.05307396128773689,10000,0.18808157742023468,0.9839,0.5279922485351562,0.9832,0.0,0.0,0.6936460733413696,0.9831,0.778609573841095,0.9831,0.20094574987888336,0.19164331257343292,0.16512994468212128,0.17266970872879028,0.015378872863948345,6.666667104582302e-06,0.0,169,0,0.0169,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.02500000037252903,0.9808,0.06531313806772232,10000,0.1827416568994522,0.9808,0.5123513340950012,0.9806,0.01632543094456196,0.1979491412639618,0.676429271697998,0.9806,0.7611605525016785,0.9806,0.19883480668067932,0.19019116461277008,0.16590717434883118,0.17260849475860596,0.015048275701701641,3.333333552291151e-06,0.005154639175257732,194,1,0.0194,0.0001,1,0.0001,0.00010197838058331633
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.05000000074505806,0.9752,0.07884256541728973,10000,0.1774708479642868,0.9752,0.49681371450424194,0.9749,0.03145413473248482,0.37002032995224,0.6591193079948425,0.9749,0.7434272170066833,0.9748,0.1969875544309616,0.18895842134952545,0.16663259267807007,0.17200346291065216,0.01479150541126728,0.0,0.003968253968253968,252,1,0.0252,0.0001,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.07500000298023224,0.9705,0.09386952221393585,10000,0.17229408025741577,0.9705,0.4814222753047943,0.9705,0.04574603587388992,0.5272549390792847,0.6417703032493591,0.9707,0.7253826856613159,0.9707,0.19538614153862,0.18788276612758636,0.16728217899799347,0.17209787666797638,0.014604958705604076,0.0,0.0,293,0,0.0293,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.10000000149011612,0.9646,0.11012230068445206,10000,0.16707822680473328,0.9646,0.4658737778663635,0.9651,0.059423793107271194,0.6710785627365112,0.6241759657859802,0.965,0.7067954540252686,0.965,0.19393092393875122,0.18700242042541504,0.16771389544010162,0.1721700131893158,0.014439741149544716,0.0,0.0,350,0,0.035,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.125,0.9599,0.12801885604858398,10000,0.16181063652038574,0.9599,0.45041024684906006,0.9598,0.07258864492177963,0.8042423129081726,0.6064186692237854,0.9599,0.6878765821456909,0.9598,0.1925789713859558,0.18605530261993408,0.16807225346565247,0.17260649800300598,0.014361218549311161,0.0,0.0024875621890547263,402,1,0.0402,0.0001,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.15000000596046448,0.9539,0.1491614431142807,10000,0.15668071806430817,0.9539,0.4352966248989105,0.9538,0.0850522443652153,0.9276699423789978,0.5885737538337708,0.9543,0.6689803600311279,0.9544,0.19122490286827087,0.18521851301193237,0.1685570478439331,0.1723572015762329,0.014276848174631596,0.0,0.0,456,0,0.0456,0.0,1,0.0001,0.00010477787091366304
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.17499999701976776,0.9477,0.1689053326845169,10000,0.15144166350364685,0.9477,0.4196850657463074,0.947,0.09741099923849106,1.045363426208496,0.5704609155654907,0.9469,0.6493737697601318,0.947,0.19019661843776703,0.1846238225698471,0.16882382333278656,0.17275075614452362,0.014252702705562115,0.0,0.0018867924528301887,530,1,0.053,0.0001,2,0.0002,0.00021119324181626187
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.20000000298023224,0.9405,0.19183063507080078,10000,0.14662204682826996,0.9405,0.40560463070869446,0.9404,0.10902858525514603,1.1521676778793335,0.5536764860153198,0.9404,0.6312478184700012,0.9404,0.1891089528799057,0.18398015201091766,0.1690511703491211,0.17275725305080414,0.01418374665081501,0.0,0.0,596,0,0.0596,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.22499999403953552,0.9335,0.21339580416679382,10000,0.1414371132850647,0.9335,0.39049625396728516,0.9326,0.12016984820365906,1.2506181001663208,0.5354175567626953,0.9327,0.6112943291664124,0.9328,0.18820837140083313,0.18338899314403534,0.1692967712879181,0.1728523224592209,0.014144457876682281,0.0,0.0,672,0,0.0672,0.0,1,0.0001,0.0001072041166380789
