model_key,variant_name,mode,beta,epsilon,accuracy,mean_ce_loss,num_samples,mean_m_pred,frac_m_pred_positive,mean_m_proto,frac_m_proto_positive,mean_R_enc,mean_R_dec,mean_m_proto_used,frac_m_proto_used_positive,mean_m_proto_mu,frac_m_proto_mu_positive,mean_sigma_mean_all,mean_sigma_median_all,mean_sigma_min_correct_mu,mean_sigma_min_wrong_mu,mean_mu_mae_clamped_sample,mean_target_saturation_rate_sample,apmsr,apmsr_false_match_count,apmsr_suppressed_count,false_match_rate_mu,suppressed_rate_all,risk_harm_count,risk_harm_rate_all,risk_harm_rate_on_mu_correct
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.0,0.9839,0.05304860323667526,10000,0.18820537626743317,0.9839,0.5279922485351562,0.9832,0.0,0.0,0.6942073106765747,0.9831,0.77940833568573,0.9831,0.2046600729227066,0.1945536583662033,0.16579434275627136,0.1744822859764099,0.015672359615564346,6.666667104582302e-06,0.0,169,0,0.0169,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.02500000037252903,0.9809,0.06529594957828522,10000,0.18288610875606537,0.9809,0.512384295463562,0.9806,0.01632560044527054,0.19791585206985474,0.6771240234375,0.9807,0.7620758414268494,0.9806,0.20244140923023224,0.1930052787065506,0.16654714941978455,0.17449086904525757,0.015297706238925457,3.333333552291151e-06,0.005154639175257732,194,1,0.0194,0.0001,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.05000000074505806,0.9753,0.07884106785058975,10000,0.1776355504989624,0.9753,0.49689242243766785,0.9749,0.03145568072795868,0.3699216842651367,0.6599392890930176,0.9749,0.7444478273391724,0.9748,0.2004920095205307,0.19167201220989227,0.16725067794322968,0.17396280169487,0.01501147635281086,0.0,0.003968253968253968,252,1,0.0252,0.0001,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.07500000298023224,0.9706,0.0938836857676506,10000,0.1724805384874344,0.9706,0.48154696822166443,0.9705,0.045738641172647476,0.527409553527832,0.6427398324012756,0.9706,0.7265461683273315,0.9706,0.198806032538414,0.1904873251914978,0.16788260638713837,0.17407095432281494,0.01479882188141346,0.0,0.0,294,0,0.0294,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.10000000149011612,0.9646,0.11020981520414352,10000,0.16727063059806824,0.9646,0.4660213887691498,0.9651,0.05942082405090332,0.6711814403533936,0.6251832246780396,0.965,0.7080066204071045,0.965,0.19728246331214905,0.18951267004013062,0.168345645070076,0.1741616278886795,0.014615390449762344,0.0,0.0,350,0,0.035,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.125,0.96,0.1280880868434906,10000,0.16201631724834442,0.96,0.4505416452884674,0.9597,0.0725816935300827,0.8041969537734985,0.6075434684753418,0.9598,0.6891596913337708,0.9598,0.19587008655071259,0.18850333988666534,0.16866180300712585,0.17462226748466492,0.01451660506427288,0.0,0.0,402,0,0.0402,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.15000000596046448,0.9538,0.14920981228351593,10000,0.15690481662750244,0.9538,0.4355229437351227,0.9537,0.08502902835607529,0.9266722798347473,0.5898385643959045,0.954,0.6704146265983582,0.954,0.19443662464618683,0.18757852911949158,0.16915123164653778,0.17444826662540436,0.014383303932845592,0.0,0.0,460,0,0.046,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.17499999701976776,0.9474,0.16885139048099518,10000,0.1516653299331665,0.9474,0.41983988881111145,0.9465,0.09741371124982834,1.0452128648757935,0.5717458724975586,0.9466,0.6508144736289978,0.9468,0.19332793354988098,0.18695075809955597,0.16939117014408112,0.1747838258743286,0.0143458042293787,0.0,0.0018796992481203006,532,1,0.0532,0.0001,3,0.0003,0.0003168567807351077
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.20000000298023224,0.9406,0.19172045588493347,10000,0.14689014852046967,0.9406,0.4058816134929657,0.9402,0.10897526890039444,1.1518961191177368,0.5551146268844604,0.9404,0.6328349709510803,0.9404,0.19219434261322021,0.18633118271827698,0.16959747672080994,0.17479853332042694,0.014260855503380299,0.0,0.0,596,0,0.0596,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.22499999403953552,0.9332,0.21324162185192108,10000,0.14170975983142853,0.9332,0.3908040225505829,0.9324,0.12012497335672379,1.2508043050765991,0.5369400978088379,0.9325,0.612994372844696,0.9326,0.19125093519687653,0.18570564687252045,0.16990037262439728,0.17497213184833527,0.014190437272191048,0.0,0.0,674,0,0.0674,0.0,1,0.0001,0.0001072271070126528
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.25,0.9248,0.24055041372776031,10000,0.13667415082454681,0.9248,0.37593111395835876,0.9245,0.13175515830516815,1.3513528108596802,0.519234836101532,0.9242,0.5934001803398132,0.9242,0.19029223918914795,0.18513646721839905,0.16974681615829468,0.17552752792835236,0.014165419153869152,0.0,0.0013192612137203166,758,1,0.0758,0.0001,1,0.0001,0.00010820168794633196
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.2750000059604645,0.9145,0.27173715829849243,10000,0.13115350902080536,0.9145,0.35981929302215576,0.914,0.1430671215057373,1.4522258043289185,0.499068945646286,0.9142,0.5711306929588318,0.9142,0.18929605185985565,0.184548020362854,0.1700366884469986,0.17545148730278015,0.014138611033558846,0.0,0.0,858,0,0.0858,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta1,risk,1.0,0.30000001192092896,0.903,0.30528882145881653,10000,0.12505875527858734,0.903,0.34231072664260864,0.9021,0.15527911484241486,1.5536015033721924,0.4774428606033325,0.902,0.5468542575836182,0.9021,0.1884581744670868,0.18398652970790863,0.17010973393917084,0.1760220229625702,0.014126980677247047,0.0,0.0010214504596527069,979,1,0.0979,0.0001,2,0.0002,0.00022170491076377343
