model_key,variant_name,mode,beta,epsilon,accuracy,mean_ce_loss,num_samples,mean_m_pred,frac_m_pred_positive,mean_m_proto,frac_m_proto_positive,mean_R_enc,mean_R_dec,mean_m_proto_used,frac_m_proto_used_positive,mean_m_proto_mu,frac_m_proto_mu_positive,mean_sigma_mean_all,mean_sigma_median_all,mean_sigma_min_correct_mu,mean_sigma_min_wrong_mu,mean_mu_mae_clamped_sample,mean_target_saturation_rate_sample,apmsr,apmsr_false_match_count,apmsr_suppressed_count,false_match_rate_mu,suppressed_rate_all,risk_harm_count,risk_harm_rate_all,risk_harm_rate_on_mu_correct
B30,B30__dfl_risk_beta0p5,risk,0.5,0.0,0.9926,0.024836093187332153,10000,0.21901635825634003,0.9926,0.7291982769966125,0.9931,0.0,0.0,0.8831591010093689,0.9931,0.918898344039917,0.9929,0.23522356152534485,0.22179445624351501,0.13966697454452515,0.2002977877855301,0.014686529524624348,0.0004366666835267097,0.028169014084507043,71,2,0.0071,0.0002,0,0.0,0.0
B30,B30__dfl_risk_beta0p5,risk,0.5,0.02500000037252903,0.6092,1.5827707052230835,10000,0.02963567152619362,0.6092,0.09037312865257263,0.6086,0.44915303587913513,3.9638137817382812,0.1297634243965149,0.6091,0.13921326398849487,0.6094,0.2061753123998642,0.20192722976207733,0.2002394050359726,0.21908217668533325,0.015972159802913666,0.0,0.0002560163850486431,3906,1,0.3906,0.0001,4,0.0004,0.0006563833278634722
B30,B30__dfl_risk_beta0p5,risk,0.5,0.05000000074505806,0.1296,6.119448661804199,10000,-0.146571546792984,0.1296,-0.360533744096756,0.1296,0.6626436114311218,4.592884540557861,-0.5163694620132446,0.129,-0.5472093820571899,0.1292,0.2080201953649521,0.2034522145986557,0.22789587080478668,0.18138538300991058,0.017399771139025688,0.00019999999494757503,0.0,8708,0,0.8708,0.0,2,0.0002,0.0015479876160990713
B30,B30__dfl_risk_beta0p5,risk,0.5,0.07500000298023224,0.0119,11.57404613494873,10000,-0.24447758495807648,0.0119,-0.5547531247138977,0.0122,0.8385726809501648,5.044065952301025,-0.7671964168548584,0.0122,-0.8017454147338867,0.0122,0.232087641954422,0.2238638699054718,0.2168283760547638,0.1706012338399887,0.0232702549546957,0.003116666804999113,0.00010123506782749544,9878,1,0.9878,0.0001,1,0.0001,0.00819672131147541
B30,B30__dfl_risk_beta0p5,risk,0.5,0.10000000149011612,0.0021,16.193523406982422,10000,-0.2697129249572754,0.0021,-0.5563862919807434,0.0019,0.9873744249343872,5.406264781951904,-0.7943511009216309,0.0019,-0.8203502893447876,0.0019,0.3060930669307709,0.29158544540405273,0.2600300908088684,0.18156975507736206,0.05391903221607208,0.018810002133250237,0.0,9981,0,0.9981,0.0,0,0.0,0.0
B30,B30__dfl_risk_beta0p5,risk,0.5,0.125,0.0004,19.877437591552734,10000,-0.26874542236328125,0.0004,-0.49883443117141724,0.0004,1.1128305196762085,5.680621147155762,-0.7622825503349304,0.0004,-0.7811105251312256,0.0004,0.41162827610969543,0.40150687098503113,0.3746998608112335,0.2046743631362915,0.1241423487663269,0.056856669485569,0.0,9996,0,0.9996,0.0,0,0.0,0.0
B30,B30__dfl_risk_beta0p5,risk,0.5,0.15000000596046448,0.0,22.097753524780273,10000,-0.2635795474052429,0.0,-0.4508650004863739,0.0,1.1921589374542236,5.877777576446533,-0.7293939590454102,0.0,-0.743642270565033,0.0,0.48652100563049316,0.4888545274734497,0.4942532181739807,0.22192102670669556,0.2032383233308792,0.11493000388145447,0.0,10000,0,1.0,0.0,0,0.0,nan
B30,B30__dfl_risk_beta0p5,risk,0.5,0.17499999701976776,0.0002,23.33806800842285,10000,-0.2610793113708496,0.0002,-0.4221048951148987,0.0002,1.2355021238327026,6.0306196212768555,-0.7112141847610474,0.0002,-0.7229278087615967,0.0002,0.529654860496521,0.5394525527954102,0.57852703332901,0.2314937561750412,0.2709055244922638,0.1497233361005783,0.0,9998,0,0.9998,0.0,0,0.0,0.0
B30,B30__dfl_risk_beta0p5,risk,0.5,0.20000000298023224,0.0001,23.953657150268555,10000,-0.26186439394950867,0.0001,-0.4108022451400757,0.0001,1.2539653778076172,6.098255634307861,-0.7067506909370422,0.0001,-0.7174628973007202,0.0001,0.5477553606033325,0.5597268342971802,0.6151831150054932,0.23463638126850128,0.3173559606075287,0.1581600159406662,0.0,9999,0,0.9999,0.0,0,0.0,0.0
B30,B30__dfl_risk_beta0p5,risk,0.5,0.22499999403953552,0.0001,24.12734031677246,10000,-0.2617942988872528,0.0001,-0.3988683223724365,0.0001,1.2561771869659424,6.175706386566162,-0.6997146010398865,0.0001,-0.7098703980445862,0.0001,0.5572905540466309,0.5677891373634338,0.6324552893638611,0.23577766120433807,0.36627113819122314,0.15242333710193634,0.0,9999,0,0.9999,0.0,0,0.0,0.0
