model_key,variant_name,mode,beta,epsilon,accuracy,mean_ce_loss,num_samples,mean_m_pred,frac_m_pred_positive,mean_m_proto,frac_m_proto_positive,mean_R_enc,mean_R_dec,mean_m_proto_used,frac_m_proto_used_positive,mean_m_proto_mu,frac_m_proto_mu_positive,mean_sigma_mean_all,mean_sigma_median_all,mean_sigma_min_correct_mu,mean_sigma_min_wrong_mu,mean_mu_mae_clamped_sample,mean_target_saturation_rate_sample,apmsr,apmsr_false_match_count,apmsr_suppressed_count,false_match_rate_mu,suppressed_rate_all,risk_harm_count,risk_harm_rate_all,risk_harm_rate_on_mu_correct
B30,B30__det,deterministic,,0.0,0.9926,0.024629902094602585,10000,0.22290757298469543,0.9926,0.7291982769966125,0.9931,0.0,0.0,0.9207373261451721,0.9931,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0,0.0,0.0
B30,B30__dfl_mean,mean,0.0,0.0,0.9926,0.024753784760832787,10000,0.22274945676326752,0.9926,0.7291982769966125,0.9931,0.0,0.0,0.918898344039917,0.9929,0.918898344039917,0.9929,0.23522356152534485,0.22179445624351501,0.13966697454452515,0.2002977877855301,0.014686529524624348,0.0004366666835267097,0.0,71,0,0.0071,0.0,0,0.0,0.0
B30,B30__dfl_risk_beta0,risk,0.0,0.0,0.9926,0.024753784760832787,10000,0.22274945676326752,0.9926,0.7291982769966125,0.9931,0.0,0.0,0.918898344039917,0.9929,0.918898344039917,0.9929,0.23522356152534485,0.22179445624351501,0.13966697454452515,0.2002977877855301,0.014686529524624348,0.0004366666835267097,0.0,71,0,0.0071,0.0,0,0.0,0.0
B30,B30__dfl_risk_beta0p1,risk,0.1,0.0,0.9926,0.02476969175040722,10000,0.2219901829957962,0.9926,0.7291982769966125,0.9931,0.0,0.0,0.9114155173301697,0.9929,0.918898344039917,0.9929,0.23522356152534485,0.22179445624351501,0.13966697454452515,0.2002977877855301,0.014686529524624348,0.0004366666835267097,0.0,71,0,0.0071,0.0,0,0.0,0.0
B30,B30__dfl_risk_beta0p25,risk,0.25,0.0,0.9926,0.0247940756380558,10000,0.22086328268051147,0.9926,0.7291982769966125,0.9931,0.0,0.0,0.9005160927772522,0.993,0.918898344039917,0.9929,0.23522356152534485,0.22179445624351501,0.13966697454452515,0.2002977877855301,0.014686529524624348,0.0004366666835267097,0.014084507042253521,71,1,0.0071,0.0001,0,0.0,0.0
B30,B30__dfl_risk_beta0p5,risk,0.5,0.0,0.9926,0.024836093187332153,10000,0.21901635825634003,0.9926,0.7291982769966125,0.9931,0.0,0.0,0.8831591010093689,0.9931,0.918898344039917,0.9929,0.23522356152534485,0.22179445624351501,0.13966697454452515,0.2002977877855301,0.014686529524624348,0.0004366666835267097,0.028169014084507043,71,2,0.0071,0.0002,0,0.0,0.0
B30,B30__dfl_risk_beta1,risk,1.0,0.0,0.9925,0.024925151839852333,10000,0.21543562412261963,0.9925,0.7291982769966125,0.9931,0.0,0.0,0.8511453866958618,0.9931,0.918898344039917,0.9929,0.23522356152534485,0.22179445624351501,0.13966697454452515,0.2002977877855301,0.014686529524624348,0.0004366666835267097,0.028169014084507043,71,2,0.0071,0.0002,0,0.0,0.0
B30,B30__dfl_risk_beta2,risk,2.0,0.0,0.9924,0.025122422724962234,10000,0.20869587361812592,0.9924,0.7291982769966125,0.9931,0.0,0.0,0.7959371209144592,0.9931,0.918898344039917,0.9929,0.23522356152534485,0.22179445624351501,0.13966697454452515,0.2002977877855301,0.014686529524624348,0.0004366666835267097,0.028169014084507043,71,2,0.0071,0.0002,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__det,deterministic,,0.0,0.9838,0.0529567152261734,10000,0.19651608169078827,0.9838,0.5279922485351562,0.9832,0.0,0.0,0.77852463722229,0.9832,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_mean,mean,0.0,0.0,0.9838,0.053016990423202515,10000,0.1965160220861435,0.9838,0.5279922485351562,0.9832,0.0,0.0,0.77940833568573,0.9831,0.77940833568573,0.9831,0.2046600729227066,0.1945536583662033,0.16579434275627136,0.1744822859764099,0.015672359615564346,6.666667104582302e-06,0.0,169,0,0.0169,0.0,0,0.0,0.0
