Epsilon,FTB30p
0.0,0.9843000000000002
0.025,0.8401
0.05,0.7409999999999999
0.07500000000000001,0.7182000000000001
0.1,0.7137999999999998
0.125,0.7124999999999998
0.15000000000000002,0.7118999999999999
0.17500000000000002,0.7114999999999999
0.2,0.7114999999999999
0.225,0.7113999999999999
0.25,0.7112999999999999
0.275,0.7111
0.30000000000000004,0.7112
0.325,0.7103
0.35000000000000003,0.7091000000000001
0.375,0.7068
0.4,0.7034000000000001
0.42500000000000004,0.699
0.45,0.6941
0.47500000000000003,0.6875
0.5,0.6841
0.525,0.6802
0.55,0.6759000000000001
0.5750000000000001,0.6737999999999998
0.6000000000000001,0.6724999999999999
0.625,0.6712999999999999
0.65,0.6705
0.675,0.67
0.7000000000000001,0.6698
0.7250000000000001,0.6696
0.75,0.6696
0.775,0.6696
0.8,0.6696
