Epsilon,S30,B30,RS30,RB30,FTB30n,FTB30p
0.0,0.9917,0.9926000000000004,0.9869999999999999,0.9848999999999997,0.9837999999999999,0.9841999999999999
0.025,0.9897,0.9881,0.9868999999999998,0.9848999999999999,0.9821000000000002,0.9856
0.05,0.9849,0.9854999999999998,0.9868999999999998,0.9850999999999999,0.9765,0.9826
0.07500000000000001,0.9782,0.9845,0.9873,0.9849,0.9765,0.9821000000000002
0.1,0.9665000000000002,0.9826,0.9868000000000002,0.985,0.9777999999999999,0.9826999999999998
0.125,0.9571,0.9768000000000001,0.9869,0.9847000000000001,0.9787000000000002,0.9820000000000002
0.15000000000000002,0.9403,0.9666999999999994,0.9869,0.9846,0.9795000000000004,0.9813999999999998
0.17500000000000002,0.9244,0.9465,0.9872999999999997,0.9843000000000004,0.9787999999999999,0.9809000000000001
0.2,0.9022000000000003,0.9209000000000003,0.9868,0.9850999999999999,0.9783999999999999,0.9818
0.225,0.8747999999999999,0.8793000000000001,0.9866999999999997,0.9849000000000002,0.9785999999999999,0.9812000000000001
0.25,0.8463,0.8267000000000001,0.9870999999999996,0.9842000000000001,0.9777999999999997,0.9805999999999997
0.275,0.8208,0.7560999999999999,0.9868,0.9846,0.9791999999999998,0.9819000000000001
0.30000000000000004,0.7844,0.6887999999999999,0.9876000000000001,0.984,0.9791000000000004,0.9808
0.325,0.7453000000000001,0.6172999999999997,0.9860999999999999,0.9844999999999997,0.9785999999999998,0.9804999999999999
0.35000000000000003,0.7028,0.5565999999999999,0.9865,0.9833000000000001,0.978,0.9795999999999998
0.375,0.6676,0.49269999999999997,0.9861000000000002,0.9832000000000001,0.9782,0.9801999999999996
0.4,0.6196999999999997,0.44040000000000007,0.9846999999999999,0.9816,0.9765999999999998,0.9796000000000001
0.42500000000000004,0.5964999999999999,0.3898,0.9827000000000001,0.9775,0.9757999999999999,0.9764999999999999
0.45,0.5567,0.35070000000000007,0.9780000000000001,0.9699999999999998,0.9737000000000003,0.9733999999999998
0.47500000000000003,0.5190000000000001,0.3137,0.9634,0.9477,0.9676000000000002,0.9683000000000002
0.5,0.4845999999999998,0.2776,0.9281,0.9025999999999996,0.9551000000000001,0.9594000000000001
0.525,0.4539000000000001,0.25340000000000007,0.8606000000000001,0.8435000000000002,0.9404999999999996,0.9447999999999999
0.55,0.41800000000000004,0.22300000000000003,0.7626999999999998,0.7743,0.9146000000000001,0.9203000000000003
0.5750000000000001,0.3943,0.20340000000000008,0.6574999999999998,0.6961,0.8709000000000005,0.8859000000000001
0.6000000000000001,0.3759,0.19280000000000003,0.5569,0.6075999999999999,0.8181,0.8413000000000002
0.625,0.3449000000000001,0.17609999999999998,0.47740000000000016,0.5147,0.7569000000000001,0.7874000000000001
0.65,0.331,0.16670000000000001,0.4115000000000001,0.4194,0.6939000000000002,0.7301
0.675,0.29950000000000004,0.1497,0.3590000000000001,0.35250000000000004,0.6258,0.6604000000000001
0.7000000000000001,0.2779999999999999,0.1436,0.31379999999999997,0.28200000000000003,0.5697000000000001,0.6014999999999999
0.7250000000000001,0.26750000000000007,0.14150000000000001,0.28130000000000005,0.22830000000000003,0.5140000000000001,0.5533999999999999
0.75,0.2511,0.13310000000000002,0.26149999999999995,0.19870000000000004,0.47079999999999994,0.5039000000000001
0.775,0.23460000000000006,0.1286,0.23079999999999998,0.17019999999999996,0.44010000000000016,0.46690000000000004
0.8,0.22059999999999996,0.12300000000000003,0.21960000000000007,0.15650000000000003,0.39930000000000004,0.42490000000000006
