Epsilon,B30-FT-0
0.0,0.9852
0.025,0.9369
0.05,0.8978
0.07500000000000001,0.8781
0.1,0.8601
0.125,0.8275
0.15000000000000002,0.8003
0.17500000000000002,0.7714
0.2,0.7372
0.225,0.6912
0.25,0.6466
0.275,0.5943
0.30000000000000004,0.5305
0.325,0.3346
0.35000000000000003,0.0349
0.375,0.0015
0.4,0.0
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
