Epsilon,B30-FT-0
0.0,0.9852
0.025,0.9374
0.05,0.8985
0.07500000000000001,0.878
0.1,0.8599
0.125,0.8304
0.15000000000000002,0.7983
0.17500000000000002,0.7687
0.2,0.7352
0.225,0.6928
0.25,0.6477
0.275,0.5911
0.30000000000000004,0.5309
0.325,0.3334
0.35000000000000003,0.0339
0.375,0.0016
0.4,0.0
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
