Epsilon,B30-FT-E
0.0,0.9799
0.025,0.3818
0.05,0.3731
0.07500000000000001,0.3516
0.1,0.3241
0.125,0.2963
0.15000000000000002,0.2675
0.17500000000000002,0.2415
0.2,0.2184
0.225,0.1909
0.25,0.1654
0.275,0.1455
0.30000000000000004,0.1252
0.325,0.0703
0.35000000000000003,0.02
0.375,0.0026
0.4,0.0001
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
