Epsilon,ProtoVAE-FT-E
0.0,0.9831
0.025,0.9803
0.05,0.9765
0.07500000000000001,0.9724
0.1,0.9662
0.125,0.9598
0.15000000000000002,0.953
0.17500000000000002,0.9438
0.2,0.9345
0.225,0.9201
0.25,0.8969
0.275,0.6766
0.30000000000000004,0.1013
0.325,0.007
0.35000000000000003,0.0
0.375,0.0
0.4,0.0
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
