Epsilon,B30-FT-0
0.0,0.9852
0.025,0.9545
0.05,0.9502
0.07500000000000001,0.9555
0.1,0.956
0.125,0.9544
0.15000000000000002,0.9498
0.17500000000000002,0.945
0.2,0.9417
0.225,0.9373
0.25,0.9325
0.275,0.9266
0.30000000000000004,0.9178
0.325,0.8965
0.35000000000000003,0.8056
0.375,0.5917
0.4,0.33
0.42500000000000004,0.1365
0.45,0.0518
0.47500000000000003,0.0142
0.5,0.0045
0.525,0.0003
0.55,0.0002
0.5750000000000001,0.0002
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
