Epsilon,B30-FT-E
0.0,0.9799
0.025,0.7055
0.05,0.8192
0.07500000000000001,0.902
0.1,0.9267
0.125,0.9327
0.15000000000000002,0.9345
0.17500000000000002,0.9288
0.2,0.924
0.225,0.9185
0.25,0.915
0.275,0.9066
0.30000000000000004,0.8998
0.325,0.8693
0.35000000000000003,0.7862
0.375,0.6098
0.4,0.3873
0.42500000000000004,0.2147
0.45,0.1055
0.47500000000000003,0.0465
0.5,0.0217
0.525,0.008
0.55,0.0025
0.5750000000000001,0.001
0.6000000000000001,0.0001
0.625,0.0002
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
