Epsilon,B30-FT-0-P
0.0,0.9852
0.025,0.9535
0.05,0.9521
0.07500000000000001,0.9549
0.1,0.956
0.125,0.9525
0.15000000000000002,0.9494
0.17500000000000002,0.9468
0.2,0.9419
0.225,0.9366
0.25,0.9314
0.275,0.9245
0.30000000000000004,0.9199
0.325,0.8984
0.35000000000000003,0.8076
0.375,0.5975
0.4,0.3254
0.42500000000000004,0.144
0.45,0.0503
0.47500000000000003,0.0137
0.5,0.004
0.525,0.0009
0.55,0.0002
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
