Epsilon,B30-FT-3
0.0,0.9854
0.025,0.9556
0.05,0.9554
0.07500000000000001,0.9587
0.1,0.957
0.125,0.9544
0.15000000000000002,0.9501
0.17500000000000002,0.9452
0.2,0.9394
0.225,0.9358
0.25,0.9296
0.275,0.9214
0.30000000000000004,0.9129
0.325,0.8986
0.35000000000000003,0.8307
0.375,0.6313
0.4,0.3581
0.42500000000000004,0.1719
0.45,0.0687
0.47500000000000003,0.022
0.5,0.0044
0.525,0.0009
0.55,0.0002
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
