Epsilon,B30-FT-E-M-Shield
0.0,0.9784
0.025,0.9759
0.05,0.9732
0.07500000000000001,0.9696
0.1,0.9647
0.125,0.9602
0.15000000000000002,0.9582
0.17500000000000002,0.9522
0.2,0.9461
0.225,0.9412
0.25,0.9364
0.275,0.9308
0.30000000000000004,0.9223
0.325,0.8789
0.35000000000000003,0.724
0.375,0.4435
0.4,0.1897
0.42500000000000004,0.0634
0.45,0.0175
0.47500000000000003,0.0038
0.5,0.001
0.525,0.0007
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
