Epsilon,B30-FT-E
0.0,0.9799
0.025,0.7121
0.05,0.8209
0.07500000000000001,0.9033
0.1,0.9257
0.125,0.9365
0.15000000000000002,0.9348
0.17500000000000002,0.9293
0.2,0.9237
0.225,0.9204
0.25,0.913
0.275,0.9042
0.30000000000000004,0.9007
0.325,0.8679
0.35000000000000003,0.7893
0.375,0.6094
0.4,0.3868
0.42500000000000004,0.2155
0.45,0.1053
0.47500000000000003,0.0484
0.5,0.0196
0.525,0.0072
0.55,0.0024
0.5750000000000001,0.0008
0.6000000000000001,0.0004
0.625,0.0001
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
