Epsilon,ProtoVAE-FT-0
0.0,0.9877
0.025,0.9847
0.05,0.9822
0.07500000000000001,0.9792
0.1,0.9761
0.125,0.9731
0.15000000000000002,0.9695
0.17500000000000002,0.9652
0.2,0.9612
0.225,0.956
0.25,0.9512
0.275,0.9448
0.30000000000000004,0.9371
0.325,0.7218
0.35000000000000003,0.3801
0.375,0.2067
0.4,0.1037
0.42500000000000004,0.0539
0.45,0.0327
0.47500000000000003,0.0184
0.5,0.0087
0.525,0.0113
0.55,0.0064
0.5750000000000001,0.0046
0.6000000000000001,0.0025
0.625,0.0018
0.65,0.0005
0.675,0.0003
0.7000000000000001,0.0002
0.7250000000000001,0.0001
0.75,0.0
0.775,0.0
0.8,0.0001
