Epsilon,ProtoVAE-FT-3
0.0,0.9821
0.025,0.9787
0.05,0.9748
0.07500000000000001,0.972
0.1,0.9689
0.125,0.9643
0.15000000000000002,0.959
0.17500000000000002,0.9544
0.2,0.9497
0.225,0.9455
0.25,0.9384
0.275,0.9292
0.30000000000000004,0.9225
0.325,0.8427
0.35000000000000003,0.3882
0.375,0.2197
0.4,0.1126
0.42500000000000004,0.0509
0.45,0.0258
0.47500000000000003,0.0115
0.5,0.008
0.525,0.0048
0.55,0.0032
0.5750000000000001,0.0029
0.6000000000000001,0.0021
0.625,0.0026
0.65,0.0025
0.675,0.0032
0.7000000000000001,0.0041
0.7250000000000001,0.0038
0.75,0.0053
0.775,0.0051
0.8,0.0051
