Epsilon,ProtoVAE-FT-E
0.0,0.9831
0.025,0.9806
0.05,0.9769
0.07500000000000001,0.9734
0.1,0.9684
0.125,0.9632
0.15000000000000002,0.9561
0.17500000000000002,0.9489
0.2,0.9414
0.225,0.9339
0.25,0.9233
0.275,0.9069
0.30000000000000004,0.8701
0.325,0.6856
0.35000000000000003,0.5163
0.375,0.3347
0.4,0.2138
0.42500000000000004,0.1348
0.45,0.0881
0.47500000000000003,0.05
0.5,0.0251
0.525,0.0102
0.55,0.0044
0.5750000000000001,0.0012
0.6000000000000001,0.0004
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0001
