Epsilon,ProtoVAE
0.0,0.9916
0.025,0.9623
0.05,0.6979
0.07500000000000001,0.379
0.1,0.2207
0.125,0.1231
0.15000000000000002,0.0173
0.17500000000000002,0.0041
0.2,0.0029
0.225,0.0019
0.25,0.0025
0.275,0.0019
0.30000000000000004,0.0022
0.325,0.0025
0.35000000000000003,0.0031
0.375,0.0054
0.4,0.0078
0.42500000000000004,0.0131
0.45,0.0198
0.47500000000000003,0.0288
0.5,0.0402
0.525,0.0528
0.55,0.065
0.5750000000000001,0.0787
0.6000000000000001,0.0885
0.625,0.0939
0.65,0.0979
0.675,0.0995
0.7000000000000001,0.1003
0.7250000000000001,0.1008
0.75,0.1009
0.775,0.1009
0.8,0.1009
