Epsilon,SENN-FT-0
0.0,0.962
0.025,0.9555
0.05,0.9504
0.07500000000000001,0.9437
0.1,0.9359
0.125,0.928
0.15000000000000002,0.9163
0.17500000000000002,0.9025
0.2,0.8885
0.225,0.8713
0.25,0.8478
0.275,0.8203
0.30000000000000004,0.7784
0.325,0.6451
0.35000000000000003,0.4592
0.375,0.2265
0.4,0.0721
0.42500000000000004,0.0178
0.45,0.0035
0.47500000000000003,0.0002
0.5,0.0001
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
