Epsilon,B30-FT-E
0.0,0.9799
0.025,0.6874
0.05,0.8022
0.07500000000000001,0.8929
0.1,0.9188
0.125,0.9311
0.15000000000000002,0.9302
0.17500000000000002,0.9257
0.2,0.9217
0.225,0.9156
0.25,0.9103
0.275,0.9011
0.30000000000000004,0.8915
0.325,0.8546
0.35000000000000003,0.7523
0.375,0.5439
0.4,0.3141
0.42500000000000004,0.1557
0.45,0.0641
0.47500000000000003,0.0277
0.5,0.0085
0.525,0.0036
0.55,0.0005
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
