Epsilon,B30-FT-E
0.0,0.9799
0.025,0.7098
0.05,0.8124
0.07500000000000001,0.8969
0.1,0.9189
0.125,0.9306
0.15000000000000002,0.9291
0.17500000000000002,0.9268
0.2,0.9209
0.225,0.9162
0.25,0.9084
0.275,0.903
0.30000000000000004,0.8962
0.325,0.8599
0.35000000000000003,0.7773
0.375,0.5996
0.4,0.3758
0.42500000000000004,0.2092
0.45,0.0973
0.47500000000000003,0.0458
0.5,0.0173
0.525,0.0064
0.55,0.0023
0.5750000000000001,0.0007
0.6000000000000001,0.0001
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0001
