Epsilon,ProtoVAE-FT-3
0.0,0.9821
0.025,0.9787
0.05,0.9748
0.07500000000000001,0.972
0.1,0.9685
0.125,0.9643
0.15000000000000002,0.9594
0.17500000000000002,0.9549
0.2,0.9491
0.225,0.9445
0.25,0.9388
0.275,0.9305
0.30000000000000004,0.9201
0.325,0.8428
0.35000000000000003,0.3865
0.375,0.2275
0.4,0.1092
0.42500000000000004,0.0519
0.45,0.024
0.47500000000000003,0.0124
0.5,0.0063
0.525,0.0045
0.55,0.0032
0.5750000000000001,0.0022
0.6000000000000001,0.0031
0.625,0.0035
0.65,0.0026
0.675,0.0031
0.7000000000000001,0.0025
0.7250000000000001,0.0033
0.75,0.0047
0.775,0.0046
0.8,0.005
