Epsilon,ProtoVAE-FT-E
0.0,0.9831
0.025,0.9806
0.05,0.977
0.07500000000000001,0.9731
0.1,0.9684
0.125,0.9627
0.15000000000000002,0.9565
0.17500000000000002,0.9488
0.2,0.9418
0.225,0.9339
0.25,0.9228
0.275,0.9073
0.30000000000000004,0.8725
0.325,0.6848
0.35000000000000003,0.5111
0.375,0.3363
0.4,0.2098
0.42500000000000004,0.1369
0.45,0.0896
0.47500000000000003,0.0541
0.5,0.0228
0.525,0.0108
0.55,0.0037
0.5750000000000001,0.0018
0.6000000000000001,0.0006
0.625,0.0001
0.65,0.0001
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
