Epsilon,B30-FT-E-M
0.0,0.9838
0.025,0.9805
0.05,0.9745
0.07500000000000001,0.9676
0.1,0.9606
0.125,0.9538
0.15000000000000002,0.9437
0.17500000000000002,0.9304
0.2,0.9156
0.225,0.8968
0.25,0.8742
0.275,0.8453
0.30000000000000004,0.8094
0.325,0.3847
0.35000000000000003,0.0013
0.375,0.0
0.4,0.0
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
