Epsilon,B30-Shield
0.0,0.9891
0.025,0.761
0.05,0.6244
0.07500000000000001,0.5772
0.1,0.5503
0.125,0.5266
0.15000000000000002,0.493
0.17500000000000002,0.4513
0.2,0.4017
0.225,0.3561
0.25,0.2988
0.275,0.2406
0.30000000000000004,0.2035
0.325,0.1724
0.35000000000000003,0.1418
0.375,0.119
0.4,0.1005
0.42500000000000004,0.0859
0.45,0.0736
0.47500000000000003,0.066
0.5,0.0583
0.525,0.0535
0.55,0.0477
0.5750000000000001,0.0419
0.6000000000000001,0.0335
0.625,0.0262
0.65,0.0166
0.675,0.0087
0.7000000000000001,0.0044
0.7250000000000001,0.0025
0.75,0.0019
0.775,0.0019
0.8,0.0019
