Epsilon,B30-FT-1
0.0,0.8869
0.025,0.4695
0.05,0.1654
0.07500000000000001,0.0399
0.1,0.0141
0.125,0.0083
0.15000000000000002,0.01
0.17500000000000002,0.0099
0.2,0.0111
0.225,0.0118
0.25,0.0166
0.275,0.0171
0.30000000000000004,0.0209
0.325,0.0221
0.35000000000000003,0.025
0.375,0.0282
0.4,0.0286
0.42500000000000004,0.0317
0.45,0.0328
0.47500000000000003,0.0338
0.5,0.0356
0.525,0.035
0.55,0.04
0.5750000000000001,0.0408
0.6000000000000001,0.0414
0.625,0.0424
0.65,0.0426
0.675,0.0456
0.7000000000000001,0.0477
0.7250000000000001,0.0483
0.75,0.0475
0.775,0.0491
0.8,0.0521
