Epsilon,B30-FT-1
0.0,0.8869
0.025,0.4667
0.05,0.1642
0.07500000000000001,0.04
0.1,0.0148
0.125,0.0094
0.15000000000000002,0.0088
0.17500000000000002,0.0108
0.2,0.0104
0.225,0.012
0.25,0.016
0.275,0.0157
0.30000000000000004,0.019
0.325,0.0215
0.35000000000000003,0.0241
0.375,0.0273
0.4,0.0299
0.42500000000000004,0.0306
0.45,0.0314
0.47500000000000003,0.0321
0.5,0.0365
0.525,0.037
0.55,0.035
0.5750000000000001,0.041
0.6000000000000001,0.043
0.625,0.0404
0.65,0.0451
0.675,0.0449
0.7000000000000001,0.0479
0.7250000000000001,0.0496
0.75,0.0483
0.775,0.0491
0.8,0.0485
