Epsilon,B30-FT-E-M-Shield
0.0,0.9784
0.025,0.9654
0.05,0.9462
0.07500000000000001,0.9208
0.1,0.8901
0.125,0.8566
0.15000000000000002,0.827
0.17500000000000002,0.7938
0.2,0.7576
0.225,0.7208
0.25,0.6811
0.275,0.6345
0.30000000000000004,0.5829
0.325,0.3791
0.35000000000000003,0.1141
0.375,0.0149
0.4,0.0005
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
