Epsilon,B30-FT-E-M
0.0,0.9838
0.025,0.981
0.05,0.9758
0.07500000000000001,0.9703
0.1,0.9644
0.125,0.9602
0.15000000000000002,0.9537
0.17500000000000002,0.9482
0.2,0.9399
0.225,0.9345
0.25,0.9246
0.275,0.9142
0.30000000000000004,0.9057
0.325,0.8482
0.35000000000000003,0.6415
0.375,0.2852
0.4,0.0807
0.42500000000000004,0.0161
0.45,0.0025
0.47500000000000003,0.0006
0.5,0.0001
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
