Epsilon,B30-Shield
0.0,0.9891
0.025,0.5305
0.05,0.1397
0.07500000000000001,0.0269
0.1,0.0038
0.125,0.0003
0.15000000000000002,0.0
0.17500000000000002,0.0
0.2,0.0001
0.225,0.0
0.25,0.0001
0.275,0.0002
0.30000000000000004,0.0004
0.325,0.0007
0.35000000000000003,0.0006
0.375,0.0004
0.4,0.0011
0.42500000000000004,0.0003
0.45,0.0004
0.47500000000000003,0.0003
0.5,0.0008
0.525,0.0005
0.55,0.0007
0.5750000000000001,0.001
0.6000000000000001,0.0006
0.625,0.0008
0.65,0.0007
0.675,0.0006
0.7000000000000001,0.0009
0.7250000000000001,0.0009
0.75,0.0006
0.775,0.0012
0.8,0.001
