Epsilon,ProtoVAE-FT-1
0.0,0.9714
0.025,0.9191
0.05,0.7957
0.07500000000000001,0.6053
0.1,0.3044
0.125,0.1365
0.15000000000000002,0.08
0.17500000000000002,0.0573
0.2,0.0416
0.225,0.0228
0.25,0.0067
0.275,0.0022
0.30000000000000004,0.0008
0.325,0.0004
0.35000000000000003,0.0001
0.375,0.0
0.4,0.0
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0001
0.525,0.0002
0.55,0.0002
0.5750000000000001,0.0001
0.6000000000000001,0.0009
0.625,0.0032
0.65,0.0056
0.675,0.0156
0.7000000000000001,0.0233
0.7250000000000001,0.0334
0.75,0.0517
0.775,0.0645
0.8,0.0757
