Epsilon,SENN-FT-2
0.0,0.9709
0.025,0.9488
0.05,0.9231
0.07500000000000001,0.8965
0.1,0.8507
0.125,0.7672
0.15000000000000002,0.6626
0.17500000000000002,0.5431
0.2,0.4356
0.225,0.3435
0.25,0.2659
0.275,0.1945
0.30000000000000004,0.1342
0.325,0.0886
0.35000000000000003,0.0331
0.375,0.0008
0.4,0.0001
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
