dataset,threat_model,model,attack,seed,run_id,runtime_s,gpu_name,n_test,eps,acc,ci_low,ci_high,rel_deg_pct
mnist,Linf,ProtoVAE,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.0,0.9916,0.9896475106477738,0.993399977684021,0.0
mnist,Linf,ProtoVAE,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.05,0.6971,0.6877649903297425,0.7053050026297569,29.69947559499798
mnist,Linf,ProtoVAE,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.1,0.2213,0.2137374971061945,0.23015249893069267,77.68253327954821
mnist,Linf,ProtoVAE,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.15000000000000002,0.0166,0.014047500351443887,0.018952499469742177,98.32593787817669
mnist,Linf,ProtoVAE,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.2,0.0036,0.0025474999740254137,0.004699999932199717,99.63695038321903
mnist,Linf,ProtoVAE,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.25,0.0018,0.0010475000221049414,0.0026525000401306873,99.81847519160951
mnist,Linf,ProtoVAE,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.30000000000000004,0.0019,0.0010000000474974513,0.0027000000700354576,99.80839048003227
mnist,Linf,ProtoVAE,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.35000000000000003,0.0043,0.002899999963119626,0.005652499955613164,99.5663574021783
mnist,Linf,ProtoVAE,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.4,0.0099,0.007899999618530273,0.011752500082366167,99.00161355385237
mnist,Linf,RB30,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.0,0.9849,0.9826474815607071,0.9872999787330627,0.0
mnist,Linf,RB30,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.05,0.9776,0.97484749853611,0.9805575206875801,0.7411919991877322
mnist,Linf,RB30,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.1,0.9679,0.9644950091838836,0.9715050086379051,1.7260635597522607
mnist,Linf,RB30,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.15000000000000002,0.9569,0.9530424878001214,0.9609099790453911,2.8429282160625466
mnist,Linf,RB30,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.2,0.9431,0.9388474851846695,0.9477049931883812,4.244085693979079
mnist,Linf,RB30,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.25,0.9264,0.9212999939918518,0.9312049970030785,5.939689308559244
mnist,Linf,RB30,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.30000000000000004,0.9007,0.8949000239372253,0.9063000082969666,8.549091278302372
mnist,Linf,RB30,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.35000000000000003,0.3528,0.34414250701665877,0.36296249777078626,64.17910447761194
mnist,Linf,RB30,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.4,0.0044,0.0031999999191612005,0.005752500006929038,99.55325413747589
mnist,Linf,SENN_0_01,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.0,0.9659,0.9619475036859513,0.9692524924874306,0.0
mnist,Linf,SENN_0_01,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.05,0.9053,0.8998375117778779,0.9104999899864197,6.2739414018014275
mnist,Linf,SENN_0_01,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.1,0.7737,0.765999972820282,0.7831000089645386,19.89854022155502
mnist,Linf,SENN_0_01,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.15000000000000002,0.5433,0.5347949922084808,0.5534524887800216,43.75194119474066
mnist,Linf,SENN_0_01,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.2,0.2512,0.24379999935626984,0.2590049885213375,73.99316699451289
mnist,Linf,SENN_0_01,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.25,0.0523,0.04869499923661351,0.056457500066608185,94.58536080339579
mnist,Linf,SENN_0_01,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.30000000000000004,0.002,0.0010999999940395355,0.00279999990016222,99.79293922766333
mnist,Linf,SENN_0_01,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.35000000000000003,0.0,0.0,0.0,100.0
mnist,Linf,SENN_0_01,PGDLInf_attack,0,20260304_121934,2771.1468303203583,cpu,10000,0.4,0.0,0.0,0.0,100.0
