epoch,train_total_loss,train_clean_full_loss,train_adv_full_loss,train_clean_acc,train_adv_acc,train_proto_clean_ce,train_proto_clean_recon,train_proto_clean_kl,train_proto_clean_ortho,train_proto_adv_ce,train_proto_adv_recon,train_proto_adv_kl,train_proto_adv_ortho,train_senn_clean_nll,train_senn_clean_concept_loss,train_senn_clean_robust_loss,train_senn_clean_recon,train_senn_adv_nll,train_senn_adv_concept_loss,train_senn_adv_robust_loss,train_senn_adv_recon,train_b30_clean_ce,train_b30_clean_e1,train_b30_clean_clst,train_b30_clean_sep,train_b30_clean_recon,train_b30_adv_ce,train_b30_adv_e1,train_b30_adv_clst,train_b30_adv_sep,train_b30_adv_recon,val_total_loss,val_clean_full_loss,val_adv_full_loss,val_clean_acc,val_adv_acc,val_proto_clean_ce,val_proto_clean_recon,val_proto_clean_kl,val_proto_clean_ortho,val_proto_adv_ce,val_proto_adv_recon,val_proto_adv_kl,val_proto_adv_ortho,val_senn_clean_nll,val_senn_clean_concept_loss,val_senn_clean_robust_loss,val_senn_clean_recon,val_senn_adv_nll,val_senn_adv_concept_loss,val_senn_adv_robust_loss,val_senn_adv_recon,val_b30_clean_ce,val_b30_clean_e1,val_b30_clean_clst,val_b30_clean_sep,val_b30_clean_recon,val_b30_adv_ce,val_b30_adv_e1,val_b30_adv_clst,val_b30_adv_sep,val_b30_adv_recon
1,95.24821760257085,3.353504234517459,91.89471364021301,0.9738333333333333,0.03172916666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14679385038713613,0.37616252986481413,0.4192754182731733,-1.7273568616559107,0.05151572311297059,4.355951367566983,2.8991599331299462,2.5831642113626003,-1.2400020662074287,0.05799509451026097,56.40218257904053,2.6584395989775658,53.74374278386434,0.9688333333333333,0.09641666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12472132624437411,0.22492731300493082,0.3817618905256192,-2.0621091524759927,0.04609809753795465,2.495694120724996,2.54658434788386,1.828492855032285,-1.1504959737261136,0.05058088440758487
2,51.38683287302653,2.117384490246574,49.26944843928019,0.9739583333333334,0.18366666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10027750855078921,0.18644508897947767,0.3885418005908529,-2.15609412578245,0.04577461117878556,2.295093320310116,2.226011350750923,1.6358211537202199,-1.0672153066843748,0.046356866019777954,44.376055320103966,2.6247474352518716,41.751307805379234,0.9643333333333334,0.3139166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12684015464037657,0.16827778238803148,0.41092436388134956,-2.2727772692839303,0.045482494247456394,1.9467467566331227,1.827182908852895,1.4467462996641796,-1.0577682852745056,0.0433460152707994
3,33.703760266304016,2.250874980352819,31.4528852502505,0.9684583333333333,0.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10961686270699526,0.15683759310437986,0.4505614689551294,-2.524373095482588,0.04612559049079815,1.4621662565817435,1.3868782669305801,1.2486710343509912,-1.1015190221369267,0.044048981469435,27.241713364919026,2.340571475525697,24.901141842206318,0.9671666666666666,0.5845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1168628732363383,0.1341203710374733,0.43795489706099033,-2.632903983195623,0.04541056122009953,1.1553897534807522,1.0774314229687054,1.130425788462162,-1.1584100077549617,0.04325655708089471
4,22.07519918680191,1.8266135981927316,20.248585561911266,0.9721666666666666,0.675125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09203601872043994,0.1283204680075869,0.44041552565370995,-2.700641387452682,0.04536861445133885,0.9450526467214028,0.7741363927101096,0.9700495945289731,-1.2347706736375887,0.044310675584711134,17.587146997451782,1.9847827677925427,15.602364321549734,0.97,0.7505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09997008725379904,0.12470617766181628,0.4368183935681979,-2.66805998980999,0.044832173734903336,0.7277175274988016,0.5862531897922357,0.8559468400975069,-1.333315538863341,0.043666009015093245
5,16.216972028215725,1.5774102940534551,14.639561757445335,0.9743541666666666,0.7686458333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08263021800667048,0.11182300501968712,0.40453148058926064,-2.779566499094168,0.045271066560720406,0.6866551533651849,0.49190297489985824,0.8025190616026521,-1.3606715655575197,0.04467479215236381,14.95747701327006,1.7788741042216618,13.178602814674377,0.9716666666666667,0.7933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09286352278043826,0.10707721471165617,0.38114460681875545,-2.6791676431894302,0.04544432290519277,0.6188679505139589,0.43562862773736316,0.7513498862584432,-1.3925791531801224,0.0430510180691878
6,13.905464261770248,1.3485250539767246,12.556939179698626,0.977125,0.7991458333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07342703448375687,0.10111484630033374,0.3697883390511076,-2.8115528089304767,0.045349425713842116,0.5917500299401581,0.3908307662544151,0.7150224518651763,-1.42863983164231,0.04481778456829488,13.13328367471695,1.6137568578124046,11.519526779651642,0.9725833333333334,0.8184166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08778537922383596,0.09642851228515308,0.3603521765520175,-2.8610727041959763,0.045553580236931644,0.5445316911985477,0.3477508059392373,0.659237672885259,-1.4624962359666824,0.046251284424215555
7,12.114867612719536,1.1804837913562853,10.934383814533552,0.9795625,0.8252083333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06658785721325937,0.09466498504237582,0.34439146689449746,-2.8335103603700795,0.045250572671648115,0.5170568460598588,0.3275538485031575,0.6490282599503795,-1.4915815734614928,0.044786746186825134,11.992656310399374,1.5088253344098728,10.483830998341242,0.9735,0.8354166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08318900557545324,0.09474757468948762,0.3356591382374366,-2.8183875928322473,0.04544789856299758,0.4975390254209439,0.3009106907993555,0.6233533198634783,-1.5650003006060917,0.0464571644552052
8,10.364042537907759,1.0345204214875896,9.329522110521793,0.9817083333333333,0.8515208333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0609271702269325,0.09152692870702595,0.3367639423037569,-2.951797127723694,0.045398377910411604,0.4423206785383324,0.2743197353556752,0.6040158728137612,-1.5987692295263212,0.04533001392458876,9.77241000533104,1.4001670299718778,8.372242977221807,0.9751666666666666,0.8688333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07875648319410782,0.08983560713628928,0.34354691083232564,-2.925990477204323,0.04556234631066521,0.39665816600124043,0.2537467523167531,0.5856402441859245,-1.651467278599739,0.047114136473586164
9,9.258150540292263,0.9104938982830694,8.347656644880772,0.9829166666666667,0.8677083333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05606221409592157,0.08867475805648913,0.3255346701480448,-3.026554312556982,0.045457996059364326,0.3975976703998943,0.2301703077585747,0.5714979286616048,-1.6857764596740406,0.04548983956919983,9.393085290988287,1.325532643745343,8.067552675803503,0.9754166666666667,0.87425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07687646752068152,0.08660085623462994,0.3249078293641408,-3.0167323499917984,0.04482262798895439,0.3856229269877076,0.21315418276935816,0.5557367776830991,-1.7308626770973206,0.0435230201886346
10,8.60880284756422,0.8317138056348389,7.777089027067025,0.9840833333333333,0.8755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053237418328838736,0.08914256464534749,0.33100006310269237,-3.1613887200752893,0.04530057184941446,0.372144088614732,0.1991746580849091,0.5528219761326909,-1.7633505010356505,0.04544517496833578,8.474657644828161,1.2728967735699068,7.20176084836324,0.9760833333333333,0.8845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07541654272548233,0.08734936360269785,0.34263423395653564,-3.2099252293507257,0.04509423323906958,0.3459106416751941,0.17834652308374643,0.5323955230414867,-1.8325021093090375,0.04578546714037657
11,8.154744220276674,0.7571439976842763,7.397600198785464,0.9840625,0.8804375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05033984753633073,0.0890177177110066,0.3285214058123529,-3.234441296507915,0.045400469175850354,0.3552024925593287,0.18252515785085657,0.5352450762875378,-1.814873323465387,0.04580375546356663,8.93169292807579,1.2793525736778975,7.65234034260114,0.9754166666666667,0.8789166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07647779351100326,0.08563193818554282,0.34055635270973045,-3.2687608003616333,0.045471874453748264,0.36915495122472447,0.1688039324556788,0.5229598221679529,-1.8216978038350742,0.04640897262531022
12,7.5889339198668795,0.7124383816844784,6.876495556284984,0.9846875,0.8901666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04884659173937204,0.08740934931362669,0.32755463384091854,-3.2967104030152163,0.045395579654723406,0.3314471534298112,0.16357050475198776,0.5196613678708673,-1.8880061656236649,0.0458541115707097,7.5109559297561646,1.1058182942215353,6.405137623349826,0.9784166666666667,0.8984166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06927306484431028,0.08728990253681938,0.32667943959434825,-3.3649391531944275,0.044711370719596744,0.3116205055266619,0.13845150902246436,0.4829337988048792,-1.982066348195076,0.044342232712854944
13,7.063859862585862,0.6096170668994697,6.454242789496978,0.9864375,0.896875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04476468024950009,0.08737573850279053,0.32358655985444784,-3.3864572222034135,0.045369927713181823,0.3124056631543984,0.14947487382839122,0.5040386935385565,-1.9635209534317255,0.046127894233601786,7.924355685710907,1.0916831806922953,6.832672506570816,0.9793333333333333,0.8925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06886203167960048,0.08417793285722534,0.3185235398511092,-3.3534451723098755,0.04613485303707421,0.3328268515566985,0.1354647770834466,0.48715641101201373,-1.9680649911363919,0.04455857933498919
14,6.850821415583293,0.5533310083555989,6.297490399330854,0.9868958333333333,0.8997083333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04252239105214054,0.08817795291543007,0.3291923532572885,-3.4704768421749272,0.04544673025763283,0.30550894668946665,0.14244592566198358,0.5042949380973974,-2.0220972541719675,0.04584899329347536,7.488575254877408,1.0621550492166232,6.426420196890831,0.9798333333333333,0.8998333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06777307662802438,0.08731438452377915,0.34400227417548496,-3.5026555955410004,0.04470841873747607,0.3123965272679925,0.14190156913052002,0.5096588954329491,-2.0865578899780908,0.04617244626084963
15,6.623459120591481,0.49371769089096534,6.129741410414378,0.9875,0.9010416666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040274076964124106,0.08889318082947284,0.3293520099638651,-3.5478291548788548,0.04542720106352741,0.29821448563598096,0.13549886643886566,0.49853091562787694,-2.073667992527286,0.04586169752292335,8.543541918198267,1.0368111062174041,7.506730854511261,0.9785,0.8814166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0671255332029735,0.08617503863448898,0.3288209947446982,-3.5082173496484756,0.046712096547707915,0.36587383908530074,0.13858125545084476,0.5068935677409172,-2.002203511695067,0.04559866641648114
16,6.455283959706624,0.46328570707313094,5.9919982478022575,0.9886041666666666,0.9035625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03922175187714553,0.08862339852688213,0.3323083355401953,-3.6053951047360897,0.04545962798874825,0.2922396759968251,0.12924230956317237,0.49972661677747965,-2.1395719634989896,0.04609556853150328,8.358946780363718,1.0338030206039548,7.325143764416377,0.9785833333333334,0.8853333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06700649651853989,0.09299469071750839,0.36568717410167056,-3.6897801657517753,0.04608468812269469,0.357643314016362,0.13370778287450472,0.5333702595283588,-2.164215932289759,0.044716752134263515
17,6.480167996138334,0.4395725855332178,6.040595391144355,0.9887083333333333,0.9034375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03862694177951198,0.08600818713118012,0.33016736432909966,-3.6435762805243335,0.045606942110074065,0.29496056175169844,0.12699947009483972,0.5023320148078104,-2.1672498943905034,0.04596903392424186,7.258621176083882,1.0009634401649237,6.257657751441002,0.9801666666666666,0.9023333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06573564980256681,0.091513828219225,0.3497488256543875,-3.650340879956881,0.04500574075306455,0.3073082696646452,0.1141301947645843,0.49372717676063377,-2.21782772988081,0.04594601776140431
18,6.3645385180910425,0.41381287700884667,5.9507256262004375,0.9887083333333333,0.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03777353463616843,0.08548465351729344,0.32528372993692756,-3.665082120647033,0.04564697367216771,0.2912115533836186,0.12175324411752324,0.4990895090935131,-2.20151031203568,0.0457717691315338,7.723603059848149,0.9559376377922794,6.767665406068166,0.9803333333333333,0.8959166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06462300013906012,0.08940294260780017,0.34787067336340743,-3.7460959255695343,0.04499733649815122,0.331461139023304,0.125737261492759,0.5294177973022064,-2.2901547153790793,0.047202025928224124
19,6.215809237211943,0.4060684202122502,5.809740833938122,0.9888541666666667,0.9056458333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03761066388202986,0.08668890005598466,0.328367926646024,-3.70644952605168,0.04576181028581535,0.2847511301903675,0.12028863882490744,0.5002360778550307,-2.2561302234729133,0.04546683564937363,8.018679191668829,0.9273923325818032,7.091286838054657,0.98075,0.8915833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06291800853796303,0.09188236529007554,0.35246109155317146,-3.7528824359178543,0.04575742261173824,0.3464912123357256,0.12864321268474063,0.5280084436138471,-2.1828711281220117,0.046986818158378206
