epoch,train_total_loss,train_clean_full_loss,train_adv_full_loss,train_clean_acc,train_adv_acc,train_proto_clean_ce,train_proto_clean_recon,train_proto_clean_kl,train_proto_clean_ortho,train_proto_adv_ce,train_proto_adv_recon,train_proto_adv_kl,train_proto_adv_ortho,train_senn_clean_nll,train_senn_clean_concept_loss,train_senn_clean_robust_loss,train_senn_clean_recon,train_senn_adv_nll,train_senn_adv_concept_loss,train_senn_adv_robust_loss,train_senn_adv_recon,train_b30_clean_ce,train_b30_clean_e1,train_b30_clean_clst,train_b30_clean_sep,train_b30_clean_recon,train_b30_adv_ce,train_b30_adv_e1,train_b30_adv_clst,train_b30_adv_sep,train_b30_adv_recon,val_total_loss,val_clean_full_loss,val_adv_full_loss,val_clean_acc,val_adv_acc,val_proto_clean_ce,val_proto_clean_recon,val_proto_clean_kl,val_proto_clean_ortho,val_proto_adv_ce,val_proto_adv_recon,val_proto_adv_kl,val_proto_adv_ortho,val_senn_clean_nll,val_senn_clean_concept_loss,val_senn_clean_robust_loss,val_senn_clean_recon,val_senn_adv_nll,val_senn_adv_concept_loss,val_senn_adv_robust_loss,val_senn_adv_recon,val_b30_clean_ce,val_b30_clean_e1,val_b30_clean_clst,val_b30_clean_sep,val_b30_clean_recon,val_b30_adv_ce,val_b30_adv_e1,val_b30_adv_clst,val_b30_adv_sep,val_b30_adv_recon
1,88.52895109852155,2.8550475538164997,85.67390326658885,0.9771458333333334,0.223875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11647360222559655,0.4466798364786276,0.44219993765000254,-1.622779927526911,0.04969172643419976,4.122394957269232,1.8269216747333605,1.9260215864827235,-0.9856122443452477,0.05538798505828405,32.32077284653982,3.1264621565739312,29.194310784339905,0.96275,0.5474166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1354829790070653,0.3277939322094123,0.4975499454885721,-1.7664049168427784,0.04424967267550528,1.3799607803424199,0.9091278898219267,1.0648030849794548,-1.0811616082986195,0.050357238932823144
2,28.06492022673289,2.562698150674502,25.50222213069598,0.9715625,0.5960625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11030304090430339,0.29650884540751576,0.4677770808339119,-1.7887929994612932,0.04366543704721456,1.2031240528449416,0.8118273584793011,0.999478057337304,-1.0992156999806564,0.048174399339283504,30.392134110132854,2.498738865057627,27.89339526494344,0.9689166666666666,0.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11151125933974981,0.2554469592869282,0.4235696711887916,-1.8452623064319293,0.04326345678418875,1.3229230667153995,0.7918126471340656,1.0062085501849651,-1.0478250583012898,0.04771954729221761
3,21.54672733445962,2.1679335180670023,19.378793855508167,0.9743958333333333,0.6935833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09556565358070657,0.24485294443244734,0.4275779336070021,-1.8635240377237399,0.04240997415035963,0.9107584065447251,0.6484322898710767,0.8792000828931729,-1.179314850519101,0.04769629111979157,22.353046258290608,2.289415585498015,20.06363062063853,0.9690833333333333,0.6901666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10462951039274533,0.2146435355146726,0.3965043642868598,-1.883620026210944,0.0417023414435486,0.9465151429176331,0.6222040193776289,0.8643874811629454,-1.1439898585279782,0.048411724623292685
4,17.080891112486523,1.8312943745404482,15.249596739808718,0.9759375,0.7620833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083340186868251,0.20104442676529288,0.39040194684639573,-1.9536214905480545,0.04184896205939973,0.7160379017392794,0.5114935520105064,0.7762420525153478,-1.25860622835656,0.0480728501570411,16.351046919822693,2.1164592963953814,14.234587748845419,0.9703333333333334,0.7819166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0978064132699122,0.19246826445062956,0.3963603625694911,-1.9482547516624134,0.04042544782472154,0.6682284343987703,0.4739036386211713,0.7546869640549024,-1.2807575513919194,0.04851728188805282
5,13.896304142971834,1.6424497816090782,12.253854344288508,0.9772916666666667,0.808875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07716371045292665,0.17361454052540162,0.35963178239762783,-2.0183157306164503,0.041518755994426705,0.5759534418272475,0.4066252955235541,0.6846007409815987,-1.3403690047562122,0.04855342407245189,12.30099485317866,1.8472742562492688,10.453720569610596,0.9716666666666667,0.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08962705770197014,0.14865873583282033,0.34684318862855434,-2.064414074023565,0.04148264306907853,0.49338704347610474,0.3254209024210771,0.6228418747584025,-1.4330833852291107,0.048902010234693684
6,10.900126114487648,1.3602704163640738,9.539855706195036,0.9803958333333334,0.8530416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06660640954699677,0.14537770281701037,0.33158953906968236,-2.121942709510525,0.041881431631433465,0.44959365180693567,0.30900871955479187,0.6031706463545561,-1.4659756800780694,0.04963260101309667,10.757429897785187,1.5858620839814346,9.171567847331366,0.9754166666666667,0.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08035409039196868,0.12111342543115218,0.31880707169572514,-2.1918164094289145,0.04098451277241111,0.4360887296497822,0.24983327773710093,0.5684748217463493,-1.5223674674828847,0.04965358894939224
7,9.079570459822813,1.1551995947957039,7.924370909730594,0.98275,0.8782083333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05977016232403306,0.11912255097801487,0.30550720791021985,-2.2300695199519396,0.04228194145252928,0.37592408891456824,0.23787189042195678,0.5419462403903405,-1.5790633615106344,0.05027292172114054,9.387412667274475,1.568411720295747,7.8190009991327925,0.97525,0.8844166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08276694784096132,0.10303948524718483,0.29682008114953834,-2.348932459950447,0.04236371947141985,0.3758452885473768,0.18872168535987535,0.5020850027600924,-1.6938795124491055,0.050481450045481324
8,8.217415963610014,1.0047446432290599,7.212671322127183,0.9836875,0.8889166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05416178168282689,0.10784581086287896,0.2928420153912157,-2.3157272885243096,0.042535055913807206,0.34388418930272263,0.20430660240041712,0.5133761297911406,-1.653735122953852,0.050727060181088746,9.07897412776947,1.4037168783446152,7.675257275501887,0.9758333333333333,0.8873333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07589585819126417,0.09392965584993362,0.29269362054765224,-2.4241111079851785,0.04253735160455108,0.3696143254637718,0.17526533268392086,0.50167923544844,-1.722077469031016,0.050777599991609655
9,7.734310083091259,0.8975519670639187,6.836758090804021,0.9847708333333334,0.8945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05039771782564154,0.0976387783496951,0.2839552423295875,-2.3906204476952553,0.042918736735979714,0.3272455119683097,0.18495064058030644,0.4974663583561778,-1.7103351826469104,0.05099118260356287,8.063981264829636,1.2943444320311148,6.7696367998917895,0.9779166666666667,0.9005833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07057778087134163,0.09454090691482027,0.2932076708724101,-2.441955750187238,0.042072916558633246,0.325847754565378,0.16929820800820986,0.48632537201046944,-1.778572676082452,0.050037760365133487
10,7.527118091781934,0.811315355861249,6.71580271422863,0.9859583333333334,0.8953958333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047095153439537775,0.09270297964879622,0.2777523115898172,-2.441764616717895,0.042860392558698855,0.3224278069877376,0.17246379617912075,0.48923199918741983,-1.738497491305073,0.05109669679465393,8.552598088979721,1.3281024992465973,7.224495579799016,0.9776666666666667,0.8933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07265011477284133,0.09105300282438596,0.27501604116211337,-2.392886127034823,0.04261159532082578,0.3485292575011651,0.1638784292154014,0.4785491234312455,-1.7226882874965668,0.051730323350057006
