epoch,train_total_loss,train_clean_full_loss,train_adv_full_loss,train_clean_acc,train_adv_acc,train_proto_clean_ce,train_proto_clean_recon,train_proto_clean_kl,train_proto_clean_ortho,train_proto_adv_ce,train_proto_adv_recon,train_proto_adv_kl,train_proto_adv_ortho,train_senn_clean_nll,train_senn_clean_concept_loss,train_senn_clean_robust_loss,train_senn_clean_recon,train_senn_adv_nll,train_senn_adv_concept_loss,train_senn_adv_robust_loss,train_senn_adv_recon,train_b30_clean_ce,train_b30_clean_e1,train_b30_clean_clst,train_b30_clean_sep,train_b30_clean_recon,train_b30_adv_ce,train_b30_adv_e1,train_b30_adv_clst,train_b30_adv_sep,train_b30_adv_recon,val_total_loss,val_clean_full_loss,val_adv_full_loss,val_clean_acc,val_adv_acc,val_proto_clean_ce,val_proto_clean_recon,val_proto_clean_kl,val_proto_clean_ortho,val_proto_adv_ce,val_proto_adv_recon,val_proto_adv_kl,val_proto_adv_ortho,val_senn_clean_nll,val_senn_clean_concept_loss,val_senn_clean_robust_loss,val_senn_clean_recon,val_senn_adv_nll,val_senn_adv_concept_loss,val_senn_adv_robust_loss,val_senn_adv_recon,val_b30_clean_ce,val_b30_clean_e1,val_b30_clean_clst,val_b30_clean_sep,val_b30_clean_recon,val_b30_adv_ce,val_b30_adv_e1,val_b30_adv_clst,val_b30_adv_sep,val_b30_adv_recon
1,104.05584339300792,2.8647096072866893,101.19113379716873,0.9739791666666666,0.05439583333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12207617933745496,0.3899931939473997,0.39587138616479933,-1.6785356185088556,0.0522028542861032,4.8219410839180155,2.913239882638057,2.605633015433947,-1.5179915058737,0.058164292034537844,60.81200671195984,2.6303029656410217,58.181703885396324,0.9645,0.11508333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12067588418722153,0.24731741473078728,0.35864522618552047,-1.8225319683551788,0.04705807326051096,2.732231020927429,2.3630690524975457,1.7393233329057693,-1.332763356467088,0.049107095769916974
2,51.63217864433924,2.3827129509299994,49.24946574370066,0.9682708333333333,0.21502083333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10964812208355094,0.22880659981941184,0.37049165399124223,-1.9070251571635406,0.0459556068914632,2.31352954916656,1.9868087973445654,1.477051882694165,-1.1727977221210797,0.044984139870697014,41.15351096789042,2.8831433976689973,38.27036770184835,0.9601666666666666,0.37566666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13695498074715337,0.20848973436901966,0.3782507088035345,-2.067260595659415,0.04640561675963303,1.796978309750557,1.5281404828031857,1.214172827700774,-1.0638723472754161,0.04409741532678405
3,32.432514667510986,2.418912203361591,30.01360250512759,0.9652916666666667,0.5205416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11368098728902017,0.18758444922665754,0.4096590837774177,-2.0783061863233647,0.04564197411915908,1.4018019835154216,1.2790114178011815,1.0865516991664965,-1.072415377323826,0.043793178764948,29.714772542317707,2.6243197893102965,27.090452710787456,0.9616666666666667,0.57225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1251440953152875,0.172656601605316,0.41161771304905415,-2.125662495692571,0.04461960572128495,1.2645275443792343,1.153155341744423,1.0246099481980007,-1.0775470708807309,0.04256819033374389
4,23.020901466409367,2.0158543971677623,21.00504704316457,0.9693125,0.6722916666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09736511677814026,0.1486500898220887,0.4009506095511218,-2.231392480432987,0.04541995840069527,0.9751353415971001,0.9486181798080603,0.9233882467572888,-1.1453732916464407,0.044086106781226896,18.361714045206707,2.2486599509914718,16.11305405696233,0.9646666666666667,0.7466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10814300691708922,0.15313682922472557,0.41673284334441024,-2.2291513234376907,0.04510697039465109,0.7432985057433447,0.7676079260806242,0.8512688664098581,-1.226633461813132,0.0437875910817335
5,16.406963626543682,1.7982654487714171,14.608698189258575,0.972,0.7685208333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08824485456959034,0.13415234574737647,0.3857145731647809,-2.275435235351324,0.04573138611158356,0.6747327498160303,0.6744898756345113,0.8116458893443147,-1.270532808577021,0.04434318687223519,14.378784517447153,2.0131423945228257,12.365642130374908,0.9680833333333333,0.80575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09906276796633999,0.13499185955151916,0.383104769513011,-2.2755982726812363,0.04553103734118243,0.5688713602721691,0.5993096518019835,0.7655209066967169,-1.3472881764173508,0.045946282179405294
6,13.251398036877314,1.5711565564076106,11.680241505304972,0.9754375,0.8162916666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07974504059529863,0.11700305839379628,0.35415805752078694,-2.3481325830022493,0.045552762516308576,0.5381105764148136,0.5532657431128124,0.7395634356265267,-1.3582988244791825,0.04477329367849355,12.71946668624878,1.8616916599373023,10.857775062322617,0.9698333333333333,0.8339166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09518724497562896,0.10716726304963231,0.351245562856396,-2.3785150398810706,0.04548611414308349,0.500276081264019,0.5089798973252376,0.7191486743589243,-1.3885306840141614,0.045660637939969696
7,11.403264957169691,1.3918049493804574,10.01146006087462,0.976875,0.8430625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07269983489337999,0.10504569144298632,0.3340000929310918,-2.399498683710893,0.04546222725184634,0.4621309884823859,0.4616076364181936,0.6830344495053092,-1.423000360528628,0.04540523803249622,11.284917453924814,1.7797515851755936,9.505165874958038,0.9706666666666667,0.8543333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09079593451072772,0.11487204193448027,0.34491305239498615,-2.3591772814591727,0.04486582955966393,0.44098041020333767,0.41361573959390324,0.6516714878380299,-1.4669502601027489,0.04399473018323382
8,9.801245354115963,1.214921691804193,8.5863236784935,0.9787708333333334,0.8674375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06573388807980034,0.09589432478727151,0.32026986979569,-2.4875881001353264,0.04565132933203131,0.3977503508795053,0.38192489246527356,0.6284095166871945,-1.499311573182543,0.04652649920899421,9.95888575911522,1.5459279734641314,8.41295779744784,0.9730833333333333,0.8715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08250545019594331,0.08961250182862084,0.3090958657364051,-2.4328134854634604,0.04549246894506117,0.3918084654336174,0.3536497826377551,0.5980773804088434,-1.5054853036999702,0.04577388792919616
9,9.288023695349693,1.0961782208178192,8.19184546917677,0.9807708333333334,0.8725416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060686536657158285,0.09344884272043903,0.31602368302022416,-2.548568124572436,0.045893322327174246,0.38051454443484545,0.35327578087647754,0.6096955252190431,-1.5303815938532352,0.04659872915362939,11.00308750073115,1.539102490991354,9.463985025882721,0.9744166666666667,0.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08330745513861378,0.08844933146610856,0.31594888617595035,-2.5684099396069846,0.04542695668836435,0.4435583172986905,0.3479326168696086,0.6291077546775341,-1.5189372052748997,0.04538719441431264
10,8.763680326441923,1.0078357437159866,7.755844575663407,0.9818541666666667,0.8804375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05732962731660033,0.08920133703698714,0.30976501340046525,-2.6086195123692355,0.04595376079669222,0.36178334810150165,0.3158970282723506,0.5888758894676963,-1.5680753216147423,0.04679496345731119,9.430783043305079,1.486770352969567,7.944012701511383,0.97425,0.8783333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08125234179897234,0.08638525583470862,0.31141524761915207,-2.593685785929362,0.04494325661410888,0.3716272882496317,0.31273587234318256,0.5843725961943468,-1.5783808728059132,0.046909288968890905
