epoch,train_total_loss,train_clean_full_loss,train_adv_full_loss,train_clean_acc,train_adv_acc,train_proto_clean_ce,train_proto_clean_recon,train_proto_clean_kl,train_proto_clean_ortho,train_proto_adv_ce,train_proto_adv_recon,train_proto_adv_kl,train_proto_adv_ortho,train_senn_clean_nll,train_senn_clean_concept_loss,train_senn_clean_robust_loss,train_senn_clean_recon,train_senn_adv_nll,train_senn_adv_concept_loss,train_senn_adv_robust_loss,train_senn_adv_recon,train_b30_clean_ce,train_b30_clean_e1,train_b30_clean_clst,train_b30_clean_sep,train_b30_clean_recon,train_b30_adv_ce,train_b30_adv_e1,train_b30_adv_clst,train_b30_adv_sep,train_b30_adv_recon,val_total_loss,val_clean_full_loss,val_adv_full_loss,val_clean_acc,val_adv_acc,val_proto_clean_ce,val_proto_clean_recon,val_proto_clean_kl,val_proto_clean_ortho,val_proto_adv_ce,val_proto_adv_recon,val_proto_adv_kl,val_proto_adv_ortho,val_senn_clean_nll,val_senn_clean_concept_loss,val_senn_clean_robust_loss,val_senn_clean_recon,val_senn_adv_nll,val_senn_adv_concept_loss,val_senn_adv_robust_loss,val_senn_adv_recon,val_b30_clean_ce,val_b30_clean_e1,val_b30_clean_clst,val_b30_clean_sep,val_b30_clean_recon,val_b30_adv_ce,val_b30_adv_e1,val_b30_adv_clst,val_b30_adv_sep,val_b30_adv_recon
1,14.637812334696452,3.4550929934183756,11.18271936607361,0.93725,0.14385416666666667,2.0700525671641032,0.37654463680585226,0.008494504435608785,1.0000012919108072,2.2860724925994873,0.3768509180545807,7.519794595241547,1.0000013411839803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.010881235758465,3.3735333251953126,13.637348002115885,0.8135,0.01025,2.0791674658457437,0.2714845549265544,0.02288048057258129,1.0000008344650269,2.3223204453786215,0.31502663032213846,10.0,1.0000008344650269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,13.686432080586751,3.4367717272440594,10.249660357793172,0.9568541666666667,0.14177083333333335,2.050430684407552,0.376131942987442,0.01020811204612255,1.0000009860992431,2.286353096008301,0.3852505823771159,6.578055481870969,1.0000012114842733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.952093510945637,3.367079128265381,13.585014361063639,0.86075,0.005416666666666667,2.0645803063710533,0.27836013650894165,0.024138080184658368,1.0000005960464478,2.3234531402587892,0.3278132874170939,9.933746999104818,1.0000005960464478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,13.845612351735433,3.4203841616312665,10.425228215535482,0.9623958333333333,0.14614583333333334,2.0339528566996257,0.3755101795991262,0.010920062184333801,1.0000010544459026,2.2854601408640542,0.38453233194351194,6.755234451452891,1.0000013052622476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.89289535522461,3.3528345743815104,13.54006081899007,0.91275,0.006416666666666667,2.0449384797414143,0.28231628266970316,0.02557899352411429,1.0000008344650269,2.327222950617472,0.3157117993036906,9.897125082969666,1.0000008344650269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,13.6554220606486,3.403313419342041,10.252108641942343,0.9731666666666666,0.147875,2.0154011907577516,0.3761851166884104,0.011726108205815156,1.00000101852417,2.2849366156260174,0.38642566760381064,6.580745079755783,1.0000012674331664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.799032740275067,3.3369710451761883,13.462061706542968,0.87325,0.004166666666666667,2.0298025709788003,0.2818420186837514,0.025323970794677735,1.0000025033950806,2.3263518772125242,0.30465649445851645,9.831050488789876,1.0000025033950806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,13.36211413192749,3.386744571685791,9.975369538625081,0.9781458333333334,0.15410416666666665,1.9986889282862346,0.37605212076505024,0.012002312883734703,1.0000012092590331,2.284331272761027,0.3899967258771261,6.301040083686511,1.000001466433207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.84496002705892,3.320518778483073,13.524441263834635,0.8001666666666667,0.016,2.0154626569747927,0.2799859050909678,0.025067590236663818,1.0000026226043701,2.3255870927174884,0.30869009749094645,9.89016118335724,1.0000026226043701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,13.364598828633627,3.37053156598409,9.994067260106405,0.9750833333333333,0.15,1.982358470916748,0.375933802207311,0.012238091523448626,1.0000012022654214,2.282759914398193,0.39025162808100383,6.32105424797535,1.0000014702479045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.764554458618164,3.300498591105143,13.464055862426758,0.8876666666666667,0.003,1.9974368594487508,0.2777182204723358,0.025342678452531495,1.0000008344650269,2.328342003504435,0.3191113732655843,9.816601545969645,1.0000008344650269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,12.927492730458578,3.354038921991984,9.573453802108764,0.9795625,0.15275,1.9662282565434774,0.3752658450603485,0.012543461260696252,1.0000013599395752,2.2818121916453045,0.3931152009169261,5.898524780710538,1.0000016218821208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.82873062133789,3.283049081166585,13.545681523640951,0.8796666666666667,0.005416666666666667,1.984331019083659,0.27387482269605,0.024842055161794028,1.0000011920928955,2.3272460587819417,0.3201638082663218,9.898270631790162,1.0000011920928955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,13.04536812210083,3.339793848673503,9.705574299494426,0.982375,0.16060416666666666,1.9516694320042929,0.3754833570321401,0.012639755561947822,1.0000013024012249,2.2805228430430096,0.391123641093572,6.033926260073979,1.0000015573501586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8077074025472,3.2713267040252685,13.536380722045898,0.8718333333333333,0.005916666666666666,1.9696058921813966,0.27572866797447204,0.025989989191293715,1.000002145767212,2.3289625244140626,0.3089900770187378,9.89842621676127,1.000002145767212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,12.850771106719971,3.32410546875,9.526665619532267,0.9823958333333334,0.160875,1.9346337458292644,0.376333967367808,0.013136374937991302,1.000001382191976,2.279330245335897,0.39167935609817506,5.855654404520989,1.0000016431808472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.903903869628905,3.2551403579711913,13.648763506571452,0.9011666666666667,0.0036666666666666666,1.9516416451136271,0.27734227259953814,0.026155601466695468,1.0000008344650269,2.3315916589101158,0.3171708966890971,10.0,1.0000008344650269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,12.872446898142497,3.309283172607422,9.563163740158082,0.982125,0.16110416666666666,1.9198469044367472,0.3760791087150574,0.013355749316513538,1.0000014031728108,2.278167242050171,0.3898193545341492,5.89517549876372,1.0000016523996988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.773179209391277,3.2446724624633787,13.528506802876791,0.9061666666666667,0.005416666666666667,1.9377401043574016,0.2804047266642253,0.026524646719296774,1.0000029802322388,2.330064251581828,0.3284695721467336,9.869970119476319,1.0000029802322388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
